extension_id,metadata_comment,metadata_severity,metadata_category,metadata_reference
KeeperSecurityDev.ks-vscode,"Keeper Security: integrates Keeper vault - save retrieve and generate secrets from Keeper vault within VS Code - vault credentials accessible from VS Code process",medium,risky-credential-access,https://marketplace.visualstudio.com/items?itemName=KeeperSecurityDev.ks-vscode
Doppler.doppler-vscode,"Doppler: secret manager integration - auto-complete secret references and inject secrets into development environment - secret manager access from IDE",medium,risky-credential-access,https://marketplace.visualstudio.com/items?itemName=Doppler.doppler-vscode
hashicorp.vault,"HashiCorp Vault: browse and read secrets from Vault servers directly in VS Code - enterprise secret management infrastructure access from IDE - vault tokens accessible to extensions",high,risky-credential-access,https://marketplace.visualstudio.com/items?itemName=hashicorp.vault
infisical.infisical,"Infisical: secret management platform integration - inject secrets into projects - access to centralized secret store from IDE",medium,risky-credential-access,https://marketplace.visualstudio.com/items?itemName=infisical.infisical
hashicorp.terraform,"HashiCorp Terraform: can provision and modify cloud infrastructure directly from VS Code - access to Terraform state files which contain secrets - cloud provider credentials required",medium,risky-infrastructure,https://marketplace.visualstudio.com/items?itemName=hashicorp.terraform
Natizyskunk.sftp,"SFTP (Natizyskunk): SFTP/FTP sync with auto-upload on save - stores SSH/FTP credentials in workspace settings - can auto-upload source code to external servers",medium,risky-file-transfer,https://marketplace.visualstudio.com/items?itemName=Natizyskunk.sftp
liximomo.sftp,"SFTP (liximomo): SFTP/FTP sync with auto-upload on save - stores credentials in .vscode/sftp.json often committed to repos - abandoned by maintainer no security patches",medium,risky-file-transfer,https://marketplace.visualstudio.com/items?itemName=liximomo.sftp
oorzc.ssh-tools,"FTP/SFTP/SSH Sync Tool: multiple file transfer protocols with credential storage and auto-sync capabilities",medium,risky-file-transfer,https://marketplace.visualstudio.com/items?itemName=oorzc.ssh-tools
mkloubert.vscode-deploy-reloaded,"Deploy (Reloaded): deploys workspace files to various destinations including FTP SFTP local/network paths - can transfer source code to external servers",medium,risky-file-transfer,https://marketplace.visualstudio.com/items?itemName=mkloubert.vscode-deploy-reloaded
heminei.pro-deployer,"PRO Deployer: SFTP/FTP deployer with auto-upload on save - stores server credentials - deploys code to remote servers",medium,risky-file-transfer,https://marketplace.visualstudio.com/items?itemName=heminei.pro-deployer
