file_name,expected_file_path,vulnerable_file_name,file_type,file_hash,link,hijacklib_link
keyscramblerie.dll,C:\Program Files\KeyScrambler*,C:\Program Files\KeyScrambler\KeyScrambler.exe,Sideloading,f1575259753f52aaabbd6baad3069605d764761c1da92e402f3e781ed3cf7cea;fa7ad2f45128120bccc33f996f87a81faa2e9c1236666dd69b943a755f332eb1,https://thehackernews.com/2024/03/two-chinese-apt-groups-ramp-up-cyber.html;https://csirt-cti.net/2024/02/01/stately-taurus-continued-new-information-on-cyberespionage-attacks-against-myanmar-military-junta/;https://bazaar.abuse.ch/sample/5cb9876681f78d3ee8a01a5aaa5d38b05ec81edc48b09e3865b75c49a2187831/;https://twitter.com/Max_Mal_/status/1775222576639291859;https://twitter.com/DTCERT/status/1712785426895839339;https://www.virustotal.com/gui/file/5cb9876681f78d3ee8a01a5aaa5d38b05ec81edc48b09e3865b75c49a2187831/details;https://www.virustotal.com/gui/file/9cfdc3fe2a10fe2b514fc224c9c8740e1de039d90b9c17f85b64ff29d4a4ebb1,HijackLibs/yml/3rd_party/qfx/keyscramblerie.yml
zlibwapi.dll,C:\Program Files\DS Clock*,C:\Program Files\DS Clock\dsclock.exe,Sideloading,f85ce4492e1354f8310027c5f70ef73aae654fcd8fd9a58034e4f82a41a9826b,https://twitter.com/malwrhunterteam/status/1859316170773397966;https://www.virustotal.com/gui/file/b8d38fc9f4560719fa64227e4b25b732b22602cb596d44cb38418a196c3340be;https://github.com/Still34/malware-lab/tree/main/reworkshop/2024-11-24,HijackLibs/yml/3rd_party/zlib/zlibwapi.yml
madhcnet32.dll,C:\Program Files\Multimedia\K-Lite Codec Pack\Filters\madVR*;C:\Program Files\K-Lite Codec Pack\Filters\madVR*,C:\Program Files\K-Lite Codec Pack\Filters\madVR\madHcCtrl.exe,Sideloading,69a90665113bd73b30360d87f7f6ed2c789a90a67f3b6e86474e21273a64f699,https://www.virustotal.com/gui/file/d98677d4cf165a8885dc16e8a8411b36bfe39b10e188c6277253173b3ff73346/relations,HijackLibs/yml/3rd_party/systemsoftwaremathiasrauen/madhcnet32.yml
x32bridge.dll,,x32dbg.exe,Sideloading,ec5cf913773459da0fd30bb282fb0144b85717aa6ce660e81a0bad24a2f23e15,https://www.trendmicro.com/en_th/research/23/b/investigating-the-plugx-trojan-disguised-as-a-legitimate-windows.html;https://news.sophos.com/en-us/2020/11/04/a-new-apt-uses-dll-side-loads-to-killlsomeone/?cmp=30728;https://unit42.paloaltonetworks.com/plugx-variants-in-usbs/,HijackLibs/yml/3rd_party/x64dbg/x32bridge.yml
badata_x64.dll,C:\Program Files\True Burner*,C:\Program Files\True Burner\TrueBurner.exe,Sideloading,3e190f160218ad78c85c169dfd0828d36e4a366a3e2a61337391f0d7599a7558,https://www.virustotal.com/gui/file/9326dd40e37d720f15a0104f89d6e76eb7a75b6e1fad14018326dbaa01681e74/relations,HijackLibs/yml/3rd_party/glorylogic/badata_x64.yml
chrome_frame_helper.dll,C:\Users\*\AppData\Local\Google\Chrome\Application*;C:\Program Files\Google\Chrome\Application*,chrome_frame_helper.exe,Sideloading,f95d0ab23f95e169cd2c613a4b8dde731ca6031c5ae11ebf0bdc034db3cc30cd,https://www.hexacorn.com/blog/2016/03/10/beyond-good-ol-run-key-part-36/,HijackLibs/yml/3rd_party/google/chrome_frame_helper.yml
register.dll,C:\Program Files\IObit\Driver Booster\*,C:\Program Files\IObit\Driver Booster\*\DriverBooster.exe,Sideloading,8aed681ad8d660257c10d2f0e85ae673184055a341901643f27afc38e5ef8473,https://www.virustotal.com/gui/file/0500e5ad7e344d32ee26da988aeb30f6344a0c89a68eacce5d6a5683d1fee0e1/relations;https://www.virustotal.com/gui/file/cdfe0f80cd3dc1914c7ad1a6305c0c1116168a37c5cfe8ff51650e2ac814b818/details,HijackLibs/yml/3rd_party/iobit/register.yml
vftrace.dll,C:\Program Files\CyberArk\Endpoint Privilege Manager\Agent\x32*;C:\Program Files\CyberArk\Endpoint Privilege Manager\Agent\x64*;C:\Program Files\CyberArk\Endpoint Privilege Manager\Agent*,vf_host.exe,Sideloading,df847abbfac55fb23715cde02ab52cbe59f14076f9e4bd15edbe28dcecb2a348,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/budworm-espionage-us-state?web_view=true;https://www.cisa.gov/uscert/ncas/analysis-reports/ar22-277b,HijackLibs/yml/3rd_party/cyberark/vftrace.yml
libcef.dll,C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience*,%Program Files (x86)\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDA Share.exe,Sideloading,f1e2f82d5f21fb8169131fedee6704696451f9e28a8705fca5c0dd6dad151d64,https://www.trendmicro.com/en_us/research/24/c/cve-2024-21412--darkgate-operators-exploit-microsoft-windows-sma.html;https://analyze.intezer.com/analyses/93e92d7a-9a46-4c1c-8ac0-87b4453beeb8;https://www.virustotal.com/gui/file/64d0fc47fd77eb300942602a912ea9403960acd4f2ed33a8e325594bf700d65f;https://research.checkpoint.com/2023/beyond-the-horizon-traveling-the-world-on-camaro-dragons-usb-flash-drives/,HijackLibs/yml/3rd_party/nvidia/libcef.yml
nvsmartmax.dll,C:\Program Files\NVIDIA Corporation\Display*,C:\Program Files\NVIDIA Corporation\Display\nvSmartEx.exe,Sideloading,523d28df917f9d265cd2c0d38df26277bc56a535145100ed82e6f5fdeaae7256,https://www.cybereason.com/blog/research/deadringer-exposing-chinese-threat-actors-targeting-major-telcos;https://www.mandiant.com/sites/default/files/2022-02/rt-apt41-dual-operation.pdf,HijackLibs/yml/3rd_party/nvidia/nvsmartmax.yml
cc3260mt.dll,C:\Program Files\TiVo\Desktop*,C:\Program Files\TiVo\Desktop\TiVoServer.exe,Sideloading,482ec2cfaba9e58435c807cf43f6cfa3eff0093d0128b066378e103e6ddf69ec,https://www.virustotal.com/gui/file/3d8181ea38667550d141f813372b2d7bae7b7f43cdc17e24688d72be97751505/details,HijackLibs/yml/3rd_party/tivo/cc3260mt.yml
libcurl.dll,C:\Program Files\Notepad++\updater*;C:\Program Files\WindowsApps\MSTeams_*;C:\Program Files\Coolmuster\Coolmuster PDF Creator Pro\*\Bin*,C:\Program Files\Notepad++\updater\GUP.exe,Sideloading,e5bbbf34414426f63e6cd1354c306405e54bf31279829c7542dccfb7d85af0ec,https://www.virustotal.com/gui/file/d1e44e4224899cb160a92f4c7f4f042b10ae0ee3fc16bbe457ad32e8b1527ed5;https://www.virustotal.com/gui/file/dd0c2d79fef0cf5e2d32dcdd661d6ba0a6e9901ffe047fad2d081bbc28daad2c,HijackLibs/yml/3rd_party/curl/libcurl.yml
safestore32.dll,C:\Program Files\Sophos\Sophos Anti-Virus*,C:\Program Files\Sophos\Sophos Anti-Virus\ssr32.exe,Sideloading,,https://symantec.broadcom.com/hubfs/Attacks-Against-Government-Sector.pdf,HijackLibs/yml/3rd_party/sophos/safestore32.yml
tpsvc.dll,C:\Program Files\VMWare\VMWare Tools*;C:\Program Files\Common Files\ThinPrint*,TPAutoConnect.exe,Sideloading,e631bf67c349ce3afc7d5960b0247af9466292bc314ff393dee0716f3a50fd5f,https://asec.ahnlab.com/en/58319/;https://www.virustotal.com/gui/file/cf801023465679ec34084bdb1adb9f54b2fc3130925a4b8fdc10b11639b4a7cd;https://www.virustotal.com/gui/file/a6e6b1a47021fa1e4d36b047f5326eb04d5f545907fc6ac3730162a07cc792ff,HijackLibs/yml/3rd_party/thinprint/tpsvc.yml
eacore.dll,C:\Program Files\Electronic Arts\EA Desktop\EA Desktop*,C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EACoreServer.exe,Sideloading,2c24f443087674a64742d5e63f62b035102314d4431fdb336cbdcb68291454dd,https://research.checkpoint.com/2023/beyond-the-horizon-traveling-the-world-on-camaro-dragons-usb-flash-drives/;https://x.com/FatzQatz/status/1883443770819248130;https://www.virustotal.com/gui/file/dc673d59a6a9df3d02e83fd03af80e117bea20954602ae416540870b1b3d13c4,HijackLibs/yml/3rd_party/electronicarts/eacore.yml
avkkid.dll,C:\Program Files\G DATA\TotalSecurity\avkkid*,C:\Program Files\G DATA\TotalSecurity\avkkid\avkkid.exe,Sideloading,388b0714e2a8146c270afe6a4c80d109988ad8dc026a0f260b376d9c35a330ed,https://research.checkpoint.com/2023/beyond-the-horizon-traveling-the-world-on-camaro-dragons-usb-flash-drives/;https://www.virustotal.com/gui/file/68eb5590d8ad952215cf54741b0ed6204c19bba4dcb8d704883e007f16de5028,HijackLibs/yml/3rd_party/gdata/avkkid.yml
python311.dll,C:\Program Files\Python311*;C:\Users\*\AppData\Local\Programs\Python\Python311*,pythonw.exe,Sideloading,24385D352B83222DC5AB92FA57B6649854ECD74DE378E279D8AC20A0B3B16009,https://www.securonix.com/blog/seolurker-attack-campaign-uses-seo-poisoning-fake-google-ads-to-install-malware/;https://thedfirreport.com/2024/09/30/nitrogen-campaign-drops-sliver-and-ends-with-blackcat-ransomware/;https://www.virustotal.com/gui/file/9514035fea8000a664799e369ae6d3af6abfe8e5cda23cdafbede83051692e63;https://www.rapid7.com/blog/post/2024/05/13/ongoing-malvertising-campaign-leads-to-ransomware/,HijackLibs/yml/3rd_party/python/python311.yml
python310.dll,C:\Program Files\Python310*;C:\Users\*\AppData\Local\Temp\*;C:\Program Files\DWAgent\runtime*;C:\Users\*\anaconda3*,pythonw.exe,Sideloading,,https://www.virustotal.com/gui/file/115fba7a9ea7d2e38d042c7fa5f81209e0d712c107ceb2eafe2f27f94c8f6054/details,HijackLibs/yml/3rd_party/python/python310.yml
python39.dll,C:\Program Files\Python39*;C:\Users\*\AppData\Local\Temp\*;C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\VC\SecurityIssueAnalysis\python*;C:\Users\*\anaconda3*,python39.exe,Sideloading,,https://twitter.com/SBousseaden/status/1530595156055011330,HijackLibs/yml/3rd_party/python/python39.yml
vmtools.dll,C:\Program Files\VMware\VMware Tools*;C:\Program Files\VMware\VMware Workstation*;C:\Program Files\VMware\VMware Player*,C:\Program Files\VMware\VMware Tools\rvmSetup.exe,Sideloading,0e6f5eaa2cd91747213f6aec05e3de6fb46ea2b7cf4d5f3ac267128abc784d00,https://www.virustotal.com/gui/file/a3d340480fc015cd7c548fccad9218222c37178af95727b612d768d8e4b24964/details,HijackLibs/yml/3rd_party/vmware/vmtools.yml
shfolder.dll,C:\Windows\System32*;C:\Windows\SysWOW64*,C:\Windows\System32\VMNat.exe,Sideloading,,https://twitter.com/dissectmalware/status/978017957480628226,HijackLibs/yml/3rd_party/vmware/shfolder.yml
glib-2.0.dll,C:\Program Files\VMware\VMware Tools*;C:\Program Files\VMware\VMware Workstation*;C:\Program Files\VMware\VMware Player*,C:\Program Files\VMware\VMware Tools\VMwareXferlogs.exe,Sideloading,935e10f5169397a67f4c36bffbc3ba46c3957b7521edd3fa83bd975157b79bd8,https://www.sentinelone.com/labs/lockbit-ransomware-side-loads-cobalt-strike-beacon-with-legitimate-vmware-utility/,HijackLibs/yml/3rd_party/vmware/glib-2.0.yml
tosbtkbd.dll,C:\Program Files\Toshiba\Bluetooth Toshiba Stack*,C:\Program Files\Toshiba\Bluetooth Toshiba Stack\TosBtKbd.exe,Sideloading,,https://www.secureworks.com/research/shadowpad-malware-analysis;https://vms.drweb.com/virus/?i=21995048;https://www.hexacorn.com/blog/2023/02/25/beyond-good-ol-run-key-part-141/,HijackLibs/yml/3rd_party/toshiba/tosbtkbd.yml
webui.dll,C:\Program Files\iTop Screen Recorder*,C:\Program Files\iTop Screen Recorder\iScrPaint.exe,Sideloading,46afbf1cbd2e1b5e108c133d4079faddc7347231b0c48566fd967a3070745e7f,https://www.virustotal.com/gui/file/063d2c12aa8316b242c5beb9dbbf934be7cee9df93b1612de9aa2f1f3084f0da/relations;https://www.virustotal.com/gui/file/521c0de9a7b2db7d9a65b443dd630a28e2b4e33f8c56336e7630c646aa2cf280/detection,HijackLibs/yml/3rd_party/itop/webui.yml
rtl120.dll,C:\Program Files\DualSafe Password Manager*,C:\Program Files\DualSafe Password Manager\DPMInit.exe,Sideloading,26a24d3b0206c6808615c7049859c2fe62c4dcd87e7858be40ae8112b0482616,https://www.virustotal.com/gui/file/0e93a41edf1ca3e1723e5e0d73f3e0f54d6d672606b9dc0cda745f87e3fd0339/relations;https://www.virustotal.com/gui/file/6028d64b53880676fcd62b445fd71952f9141b8ac0e60329b15cf9e04e437cea/details,HijackLibs/yml/3rd_party/itop/rtl120.yml
vivaldi_elf.dll,C:\Users\*\AppData\Local\Vivaldi\Application*;C:\Users\*\AppData\Local\Vivaldi\Application\*,C:\Users\*\AppData\Local\Vivaldi\Application\vivaldi.exe,Sideloading,58e7af5eb1acb5c9bee821d59054c69263aed3dce1b95616255dea7114ad8494,https://securityintelligence.com/posts/vizom-malware-targets-brazilian-bank-customers-remote-overlay/;https://decoded.avast.io/threatintel/apt-treasure-trove-avast-suspects-chinese-apt-group-mustang-panda-is-collecting-data-from-burmese-government-agencies-and-opposition-groups/,HijackLibs/yml/3rd_party/vivaldi/vivaldi_elf.yml
flutter_gpu_texture_renderer_plugin.dll,C:\Users\*\AppData\Local\rustdesk*,C:\Users\*\AppData\Local\rustdesk\rustdesk.exe,Sideloading,8128917d9f3e7ecabbc39f4c221afdf9171ee8b71b2c0ef11fce8e14c13c91fe,https://www.trendmicro.com/en_us/research/25/a/how-cracks-and-installers-bring-malware-to-your-device.html;https://www.virustotal.com/gui/file/857e4cb0b41f7aac5494c8554601888c1c82202de3dab7258b2ff322bc94ca43,HijackLibs/yml/3rd_party/rustdesk/flutter_gpu_texture_renderer_plugin.yml
tts.dll,C:\Program Files\Soundpad*,C:\Program Files\Soundpad\Soundpad.exe,Sideloading,9B17717DFC9852E2C7B730CCE4B8058528667D0B484BB936D3CE07B66AB50D72,https://www.virustotal.com/gui/file/9f45aadddaae7ad3076e0591fa4ccce302248c079dc07f5c9e3da788bdae0292/relations;https://www.virustotal.com/gui/file/af328ef3ae2c81a0ad5937cb186bb45d3190dbee390e180240e0a0218a1bce98,HijackLibs/yml/3rd_party/leppsoft/tts.yml
wsc.dll,C:\Program Files\AVAST Software\Avast*,wsc_proxy.exe,Search Order,85ca20eeec3400c68a62639a01928a5dab824d2eadf589e5cbfe5a2bc41d9654,https://github.com/netero1010/Vulnerability-Disclosure/tree/main/CVE-2022-AVAST2;https://securelist.com/cycldek-bridging-the-air-gap/97157/,HijackLibs/yml/3rd_party/avast/wsc.yml
qt5core.dll,C:\Program Files\Electronic Arts\EA Desktop\EA Desktop*;C:\Program Files\Microsoft Onedrive\*;C:\Users\*\AppData\Local\Microsoft\Onedrive\*;C:\Program Files\Dropbox\Client\*;C:\Program Files\LogiOptionsPlus*,C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EASteamProxy.exe,Sideloading,4e775b5fafb4e6d89a4694f8694d2b8b540534bd4a52ff42f70095f1c929160e,https://www.virustotal.com/gui/file/2251e6582a12427b9b70d0e9ec7c8c27debe22b0a08b6ff6be46f4fb8914338c;https://www.virustotal.com/gui/file/173e138d5cf12f7eb55a67bcf3afc97ac1d7598fe4290ca4f125f28692e90fed,HijackLibs/yml/3rd_party/qt/qt5core.yml
qtgui4.dll,C:\Program Files\Audacity*;C:\Program Files\AOMEI\AOMEI Backupper\*,C:\Program Files\Audacity\crashreporter.exe,Sideloading,51de0b104e9ced3028a41d01dedf735809eb7f60888621027c7f00f0fcf9c834,https://www.virustotal.com/gui/file/dbdf5e11ec81ed1d941ec16fc7b94ab65f814ceb1e7fb524f2c64cbb422f7382/details;https://forum.eset.com/topic/44610-im-afraid-i-did-something-stupid-and-im-usually-very-careful-i-keep-getting-an-address-has-been-blocked-message/page/2/,HijackLibs/yml/3rd_party/qt/qtgui4.yml
calibre-launcher.dll,C:\Program Files\Calibre2*,calibre.exe,Sideloading,735e7b33b97bff3cf6416ed3b8ed7213d7258eec05202cbf8f8f8002c6435fd1,https://www.huntress.com/blog/advanced-persistent-threat-targeting-vietnamese-human-rights-defenders,HijackLibs/yml/3rd_party/calibre/calibre-launcher.yml
libeay32.dll,C:\Program Files\PSPad editor*,C:\Program Files\PSPad editor\PSPad.exe,Sideloading,0a97c374a6cc14b54b01deb3be77b28e274ced8c0627efba6b84712284332a7a,https://asec.ahnlab.com/en/58319/;https://www.virustotal.com/gui/file/cf801023465679ec34084bdb1adb9f54b2fc3130925a4b8fdc10b11639b4a7cd;https://www.virustotal.com/gui/file/7add49ed95d6a9e90988dcbfc54cdb727e0c705e3d79879717849798354e3e25;https://www.virustotal.com/gui/file/a13c09f41979df8717a9d39e15e6ce960c1c4ba6af456a563fa3ff1b8b4d388c,HijackLibs/yml/3rd_party/pspad/libeay32.yml
goopdate.dll,C:\Program Files\Dropbox\Update*;C:\Program Files\Dropbox\Update\*;C:\Users\*\AppData\Local\DropboxUpdate\Update*,DropboxUpdate.exe,Sideloading,47839789332aaf8861f7731bf2d3fbb5e0991ea0d0b457bb4c8c1784f76c73dc,https://www.huntress.com/blog/advanced-persistent-threat-targeting-vietnamese-human-rights-defenders,HijackLibs/yml/3rd_party/dropbox/goopdate.yml
vstdlib_s64.dll,C:\Program Files\Steam*,C:\Program Files\Steam\steamerrorreporter64.exe,Sideloading,0a0c09753b5103e86e32c2d8086dd1399f0d97a00e1525ec9c390067cdb242ba,https://github.com/PaloAltoNetworks/Unit42-timely-threat-intel/blob/main/2024-09-19-IOCs-for-file-downloader-to-Lumma-Stealer.txt;https://twitter.com/Unit42_Intel/status/1837137726409158770,HijackLibs/yml/3rd_party/valve/vstdlib_s64.yml
skinutils.dll,C:\Program Files\ICQLite*,C:\Program Files\ICQLite\ICQLite.exe,Sideloading,e6baea057b35e495a3fc3cdf3b95d503c3abc63c371fbb0067f1052798ce3601,https://www.virustotal.com/gui/file/e5e53392b29b74545e463b65052e0b6b07e8299d709f07501fb0f31b97a679ab/details;https://www.virustotal.com/gui/file/a278d5604a93e93a5580845da93af6c316a37a4cd35c1fc9348958ae1bebdb90/details;https://www.virustotal.com/gui/file/104ca4690b0ff17eb55e1330c5baf5580a731b6834f0716c483e646d6030855c/relations;https://www.virustotal.com/gui/file/010f55aef8ccba2ea1307d934decd577a08fa21547d1db30e01f3ae5ff1cce07/relations,HijackLibs/yml/3rd_party/icq/skinutils.yml
liteskinutils.dll,C:\Program Files\ICQLite*,C:\Program Files\ICQLite\ICQLite.exe,Sideloading,e6baea057b35e495a3fc3cdf3b95d503c3abc63c371fbb0067f1052798ce3601,https://www.virustotal.com/gui/file/e5e53392b29b74545e463b65052e0b6b07e8299d709f07501fb0f31b97a679ab/details;https://www.virustotal.com/gui/file/a278d5604a93e93a5580845da93af6c316a37a4cd35c1fc9348958ae1bebdb90/details;https://www.virustotal.com/gui/file/104ca4690b0ff17eb55e1330c5baf5580a731b6834f0716c483e646d6030855c/relations;https://www.virustotal.com/gui/file/010f55aef8ccba2ea1307d934decd577a08fa21547d1db30e01f3ae5ff1cce07/relations,HijackLibs/yml/3rd_party/icq/liteskinutils.yml
mediainfo_i386.dll,C:\Program Files\MediaInfo*,C:\Program Files\MediaInfo\MediaInfo.exe,Sideloading,4fc64e114f80ce755040ac2891bd1fab0492a831177491f3fe1382adf94030f9,https://www.virustotal.com/gui/file/69d9667cfab126f1c473163771511602497e05a908b3dbeaa29d165af879da97,HijackLibs/yml/3rd_party/mediainfo/mediainfo_i386.yml
acrodistdll.dll,C:\Program Files\Adobe\Acrobat *\Acrobat*,C:\Program Files\Adobe\Acrobat *\Acrobat\AcroDist.exe,Sideloading,01b68a0c13032bb59f262ed94d2daf85e50fad7a1502a3097029b66b7eb4f903,https://go.recordedfuture.com/hubfs/reports/cta-2022-1223.pdf,HijackLibs/yml/3rd_party/adobe/acrodistdll.yml
vcomp100.dll,,C:\Program Files\Adobe\Adobe Photoshop *\convert.exe,Sideloading,db2457caa1ccd65e63718b9e28789a12e17bc7a038975fba4f07dcd9f38e7016,https://www.virustotal.com/gui/file/0ab581841cc19922d424dbc518d279070ea75ec2983334ba1b74c16ca5729bc1/relations;https://www.virustotal.com/gui/file/5a5e1142b50096e3af0f9079c45c84f8a6ca1be60e45dbc489327a2632d73fd5/details,HijackLibs/yml/3rd_party/adobe/vcomp100.yml
sqlite.dll,C:\Program Files\Adobe\Acrobat Reader DC\Reader*;C:\Program Files\Adobe\Acrobat DC\Acrobat*,C:\Program Files\Adobe\Acrobat Reader DC\Reader\AcroBroker.exe,Sideloading,1f64f01063b26bf05d4b076d54816e54dacd08b7fd6e5bc9cc5d11a548ff2215,https://asec.ahnlab.com/en/58319/;https://www.virustotal.com/gui/file/802bad293e5d5e75ffac3df3dd5301315a886534011871275a1b41c9cec1f298,HijackLibs/yml/3rd_party/adobe/sqlite.yml
hpcustpartui.dll,C:\Program Files\HP*,HPCustParticUI.exe,Sideloading,8857232077b4b0f0e4a2c3bb5717fd65079209784f41694f8e1b469e34754cf6,https://www.trellix.com/en-us/about/newsroom/stories/research/operation-harvest-a-deep-dive-into-a-long-term-campaign.html;https://decoded.avast.io/threatintel/apt-treasure-trove-avast-suspects-chinese-apt-group-mustang-panda-is-collecting-data-from-burmese-government-agencies-and-opposition-groups/,HijackLibs/yml/3rd_party/hp/hpcustpartui.yml
hpqhvsei.dll,C:\Program Files\HP*,hpqhvind.exe,Sideloading,404c4ab8ea4d0c05ac78038a7addb045861706832ea3a51dec8c39cfc15017d3,https://www.secureworks.com/research/shadowpad-malware-analysis;https://www.welivesecurity.com/2020/01/31/winnti-group-targeting-universities-hong-kong/;https://www.hexacorn.com/blog/2023/02/25/beyond-good-ol-run-key-part-141/,HijackLibs/yml/3rd_party/hp/hpqhvsei.yml
