role,id,metadata_is_privileged,metadata_description
Attribute Assignment Reader,ffd52fa5-98dc-465c-991d-fc073eb59f8f,false,Read custom security attribute keys and values for supported Microsoft Entra objects.
Attribute Definition Administrator,8424c6f0-a189-499e-bbd0-26c1753c96d4,false,Define and manage the definition of custom security attributes.
Attribute Definition Reader,1d336d2c-4ae8-42ef-9711-b3604ce3fc2c,false,Read the definition of custom security attributes.
Attribute Log Administrator,5b784334-f94b-471a-a387-e7219fc49ca2,false,Read audit logs and configure diagnostic settings for events related to custom security attributes.
Attribute Log Reader,9c99539d-8186-4804-835f-fd51ef9e2dcd,false,Read audit logs related to custom security attributes.
Authentication Policy Administrator,0526716b-113d-4c15-b2c8-68e3c22b9f80,false,"Can create and manage the authentication methods policy, tenant-wide MFA settings, password protection policy, and verifiable credentials."
Azure DevOps Administrator,e3973bdf-4987-49ae-837a-ba8e231c7286,false,Can manage Azure DevOps policies and settings.
Azure Information Protection Administrator,7495fdc4-34c4-4d15-a289-98788ce399fd,false,Can manage all aspects of the Azure Information Protection product.
B2C IEF Policy Administrator,3edaf663-341e-4475-9f94-5c398ef6c070,false,Can create and manage trust framework policies in the Identity Experience Framework (IEF).
Billing Administrator,b0f54661-2d74-4c50-afa3-1ec803f12efe,false,Can perform common billing related tasks like updating payment information.
Cloud App Security Administrator,892c5842-a9a6-463a-8041-72aa08ca3cf6,false,Can manage all aspects of the Defender for Cloud Apps product.
Compliance Administrator,17315797-102d-40b4-93e0-432062caca18,false,Can read and manage compliance configuration and reports in Microsoft Entra ID and Microsoft 365.
Compliance Data Administrator,e6d1a23a-da11-4be4-9570-befc86d067a7,false,Creates and manages compliance content.
Customer LockBox Access Approver,5c4f9dcd-47dc-4cf7-8c9a-9e4207cbfc91,false,Can approve Microsoft support requests to access customer organizational data.
Desktop Analytics Administrator,38a96431-2bdf-4b4c-8b6e-5d3d8abac1a4,false,Can access and manage Desktop management tools and services.
Directory Readers,88d8e3e3-8f55-4a1e-953a-9b9898b8876b,false,Can read basic directory information. Commonly used to grant directory read access to applications and guests.
Dynamics 365 Administrator,44367163-eba1-44c3-98af-f5787879f96a,false,Can manage all aspects of the Dynamics 365 product.
Dynamics 365 Business Central Administrator,963797fb-eb3b-4cde-8ce3-5878b3f32a3f,false,Access and perform all administrative tasks on Dynamics 365 Business Central environments.
Edge Administrator,3f1acade-1e04-4fbc-9b69-f0302cd84aef,false,Manage all aspects of Microsoft Edge.
Exchange Administrator,29232cdf-9323-42fd-ade2-1d097af3e4de,false,Can manage all aspects of the Exchange product.
Exchange Recipient Administrator,31392ffb-586c-42d1-9346-e59415a2cc4e,false,Can create or update Exchange Online recipients within the Exchange Online organization.
External ID User Flow Administrator,6e591065-9bad-43ed-90f3-e9424366d2f0,false,Can create and manage all aspects of user flows.
External ID User Flow Attribute Administrator,0f971eea-41eb-4569-a71e-57bb8a3eff1e,false,Can create and manage the attribute schema available to all user flows.
Fabric Administrator,a9ea8996-122f-4c74-9520-8edcd192826c,false,Can manage all aspects of the Fabric and Power BI products.
Global Secure Access Administrator,ac434307-12b9-4fa1-a708-88bf58caabc1,false,"Create and manage all aspects of Microsoft Entra Internet Access and Microsoft Entra Private Access, including managing access to public and private endpoints."
Groups Administrator,fdd7a751-b60b-444a-984c-02652fe8fa1c,false,"Members of this role can create/manage groups, create/manage groups settings like naming and expiration policies, and view groups activity and audit reports."
Guest Inviter,95e79109-95c0-4d8e-aee3-d01accf2d47b,false,Can invite guest users independent of the 'members can invite guests' setting.
Identity Governance Administrator,45d8d3c5-c802-45c6-b32a-1d70b5e1e86e,false,Manage access using Microsoft Entra ID for identity governance scenarios.
Insights Administrator,eb1f4a8d-243a-41f0-9fbd-c7cdf6c5ef7c,false,Has administrative access in the Microsoft 365 Insights app.
Insights Analyst,25df335f-86eb-4119-b717-0ff02de207e9,false,Access the analytical capabilities in Microsoft Viva Insights and run custom queries.
Insights Business Leader,31e939ad-9672-4796-9c2e-873181342d2d,false,Can view and share dashboards and insights via the Microsoft 365 Insights app.
Kaizala Administrator,74ef975b-6605-40af-a5d2-b9539d836353,false,Can manage settings for Microsoft Kaizala.
Knowledge Administrator,b5a8dcf3-09d5-43a9-a639-8e29ef291470,false,"Can configure knowledge, learning, and other intelligent features."
Knowledge Manager,744ec460-397e-42ad-a462-8b3f9747a02c,false,"Can organize, create, manage, and promote topics and knowledge."
License Administrator,4d6ac14f-3453-41d0-bef9-a3e0c569773a,false,Can manage product licenses on users and groups.
Message Center Privacy Reader,ac16e43d-7b2d-40e0-ac05-243ff356ab5b,false,Can read security messages and updates in Office 365 Message Center only.
Message Center Reader,790c1fb9-7f7d-4f88-86a1-ef1f95c05c1b,false,Can read messages and updates for their organization in Office 365 Message Center only.
Microsoft 365 Migration Administrator,8c8b803f-96e1-4129-9349-20738d9f9652,false,Perform all migration functionality to migrate content to Microsoft 365 using Migration Manager.
Microsoft Entra Joined Device Local Administrator,9f06204d-73c1-4d4c-880a-6edb90606fd8,false,Users assigned to this role are added to the local administrators group on Microsoft Entra joined devices.
Microsoft Hardware Warranty Administrator,1501b917-7653-4ff9-a4b5-203eaf33784f,false,"Create and manage all aspects warranty claims and entitlements for Microsoft manufactured hardware, like Surface and HoloLens."
Microsoft Hardware Warranty Specialist,281fe777-fb20-4fbb-b7a3-ccebce5b0d96,false,"Create and read warranty claims for Microsoft manufactured hardware, like Surface and HoloLens."
Modern Commerce Administrator,d24aef57-1500-4070-84db-2666f29cf966,false,"Can manage commercial purchases for a company, department or team."
Network Administrator,d37c8bed-0711-4417-ba38-b4abe66ce4c2,false,Can manage network locations and review enterprise network design insights for Microsoft 365 Software as a Service applications.
Office Apps Administrator,2b745bdf-0803-4d80-aa65-822c4493daac,false,"Can manage Office apps cloud services, including policy and settings management, and manage the ability to select, unselect and publish 'what's new' feature content to end-user's devices."
Organizational Branding Administrator,92ed04bf-c94a-4b82-9729-b799a7a4c178,false,Manage all aspects of organizational branding in a tenant.
Organizational Messages Approver,e48398e2-f4bb-4074-8f31-4586725e205b,false,"Review, approve, or reject new organizational messages for delivery in the Microsoft 365 admin center before they are sent to users."
Organizational Messages Writer,507f53e4-4e52-4077-abd3-d2e1558b6ea2,false,"Write, publish, manage, and review the organizational messages for end-users through Microsoft product surfaces."
Permissions Management Administrator,af78dc32-cf4d-46f9-ba4e-4428526346b5,false,Manage all aspects of Microsoft Entra Permissions Management.
Power Platform Administrator,11648597-926c-4cf3-9c36-bcebb0ba8dcc,false,"Can create and manage all aspects of Microsoft Dynamics 365, Power Apps and Power Automate."
Printer Administrator,644ef478-e28f-4e28-b9dc-3fdde9aa0b1f,false,Can manage all aspects of printers and printer connectors.
Printer Technician,e8cef6f1-e4bd-4ea8-bc07-4b8d950f4477,false,Can register and unregister printers and update printer status.
Reports Reader,4a5d8f65-41da-4de4-8968-e035b65339cf,false,Can read sign-in and audit reports.
Search Administrator,0964bb5e-9bdb-4d7b-ac29-58e794862a40,false,Can create and manage all aspects of Microsoft Search settings.
Search Editor,8835291a-918c-4fd7-a9ce-faa49f0cf7d9,false,"Can create and manage the editorial content such as bookmarks, Q and As, locations, floorplan."
Service Support Administrator,f023fd81-a637-4b56-95fd-791ac0226033,false,Can read service health information and manage support tickets.
SharePoint Administrator,f28a1f50-f6e7-4571-818b-6a12f2af6b6c,false,Can manage all aspects of the SharePoint service.
SharePoint Embedded Administrator,1a7d78b6-429f-476b-b8eb-35fb715fffd4,false,Manage all aspects of SharePoint Embedded containers.
Skype for Business Administrator,75941009-915a-4869-abe7-691bff18279e,false,Can manage all aspects of the Skype for Business product.
Teams Administrator,69091246-20e8-4a56-aa4d-066075b2a7a8,false,Can manage the Microsoft Teams service.
Teams Communications Administrator,baf37b3a-610e-45da-9e62-d9d1e5e8914b,false,Can manage calling and meetings features within the Microsoft Teams service.
Teams Communications Support Engineer,f70938a0-fc10-4177-9e90-2178f8765737,false,Can troubleshoot communications issues within Teams using advanced tools.
Teams Communications Support Specialist,fcf91098-03e3-41a9-b5ba-6f0ec8188a12,false,Can troubleshoot communications issues within Teams using basic tools.
Teams Devices Administrator,3d762c5a-1b6c-493f-843e-55a3b42923d4,false,Can perform management related tasks on Teams certified devices.
Teams Telephony Administrator,aa38014f-0993-46e9-9b45-30501a20909d,false,Manage voice and telephony features and troubleshoot communication issues within the Microsoft Teams service.
Tenant Creator,112ca1a2-15ad-4102-995e-45b0bc479a6a,false,Create new Microsoft Entra or Azure AD B2C tenants.
Usage Summary Reports Reader,75934031-6c7e-415a-99d7-48dbd49e875e,false,"Read Usage reports and Adoption Score, but can't access user details."
User Experience Success Manager,27460883-1df1-4691-b032-3b79643e5e63,false,"View product feedback, survey results, and reports to find training and communication opportunities."
Virtual Visits Administrator,e300d9e7-4a2b-4295-9eff-f1c78b36cc98,false,Manage and share Virtual Visits information and metrics from admin centers or the Virtual Visits app.
Viva Goals Administrator,92b086b3-e367-4ef2-b869-1de128fb986e,false,Manage and configure all aspects of Microsoft Viva Goals.
Viva Pulse Administrator,87761b17-1ed2-4af3-9acd-92a150038160,false,Can manage all settings for Microsoft Viva Pulse app.
Windows 365 Administrator,11451d60-acb2-45eb-a7d6-43d0f0125c13,false,Can provision and manage all aspects of Cloud PCs.
Windows Update Deployment Administrator,32696413-001a-46ae-978c-ce0f6b3620d2,false,Can create and manage all aspects of Windows Update deployments through the Windows Update for Business deployment service.
Yammer Administrator,810a2642-a034-447f-a5e8-41beaa378541,false,Manage all aspects of the Yammer service.
