domain,metadata_comment,uri_path,ip
down.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain,/g.pixel,112.125.19.107
down.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain,/j.ad,112.125.19.107
ds.metric-take-datadqct.com,Possible Cobalt Strike C2 Domain,/v2/telemetry/metrics-ingestion/data,176.97.124.68
ds.metric-take-datadqct.com,Possible Cobalt Strike C2 Domain,/v2/telemetry/metrics-ingestion/data,198.46.199.110
dutxz8790a6ya.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/admin/logout.aspx,47.236.91.172
ekostroy33.ru,Possible Cobalt Strike C2 Domain,/emkd-gettask.html,195.123.220.237
enter.xone.la,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,193.42.25.65
f2vwg20bnfcrr.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,142.171.116.94
fq3gm5xphax8c.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/v2/analytics/metrics,120.53.15.64
frk9qw3pqt0dx.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/match,101.35.131.119
fx.doubao.com,Possible Cobalt Strike C2 Domain,/dot.gif,118.89.73.78
google.dns-1.help,Possible Cobalt Strike C2 Domain,/dot.gif,8.219.158.30
google.dns-1.help,Possible Cobalt Strike C2 Domain,/match,8.219.158.30
google.dns-1.help,Possible Cobalt Strike C2 Domain,/push,47.236.102.8
h67as5d5x.m6p3wca1.cc,Possible Cobalt Strike C2 Domain,/www/handle/doc,203.160.54.22
hide-cruise-raises-phases.trycloudflare.com,Possible Cobalt Strike C2 Domain,/pixel,123.56.16.123
hp.tailc223d4.ts.net,Possible Cobalt Strike C2 Domain,/cm,217.154.212.25
hsjs.net,Possible Cobalt Strike C2 Fronting Domain,/api/v2/telemetry/config.js,47.92.208.27
imageprovidjs.shop,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,23.148.212.123
jkzprb4y.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain,/api/v1/get,154.12.86.154
jnceabyk.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain,/api/v1/get,154.12.86.154
job.itechno.cc,Possible Cobalt Strike C2 Domain,/api/v1/get,107.172.217.220
kl.kimlinlin.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.147.170.252
lab.google-analytcis.com,Possible Cobalt Strike C2 Domain,/assets/i18n/js/jquery-3.3.1.min.js,43.199.78.142
linuxkerneldbs.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,206.188.197.241
metric-take-datadqct.com,Possible Cobalt Strike C2 Domain,/v2/telemetry/metrics-ingestion/data,176.97.124.68
microsoftcdn.accesscam.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,46.137.196.122
missmovie.lol,Possible Cobalt Strike C2 Domain,/api/3,8.159.146.72
mlcos.cdnupdate.net,Possible Cobalt Strike C2 Domain,/wc/58462514417,38.181.42.160
mlcs.mlface.net,Possible Cobalt Strike C2 Domain,/s/58462514417,177.3.40.2
msg.msdegeup.com,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php,118.26.39.237
n1.google-analytcis.com,Possible Cobalt Strike C2 Domain,/assets/i18n/js/jquery-3.3.1.min.js,43.199.78.142
n2.google-analytcis.com,Possible Cobalt Strike C2 Domain,/assets/i18n/js/jquery-3.3.1.min.js,43.199.78.142
n3.google-analytcis.com,Possible Cobalt Strike C2 Domain,/assets/i18n/js/jquery-3.3.1.min.js,43.199.78.142
ns.1.3.0o0.foo,Possible Cobalt Strike C2 Domain,/cm,47.129.171.26
ns.1.4.0o0.foo,Possible Cobalt Strike C2 Domain,/fwlink,47.129.171.26
ns.jumpservers.net,Possible Cobalt Strike C2 Domain,/dot.gif,16.162.137.167
ns1.admlistdel.com,Possible Cobalt Strike C2 Domain,/image/,107.173.122.193
ns1.akawowfast.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,139.180.189.95
ns1.bbcbook.net,Possible Cobalt Strike C2 Domain,/api/v1/Updates,185.196.8.2
ns1.bewiser.at,Possible Cobalt Strike C2 Domain,/checkin,95.179.137.233
ns1.cacheflow.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,202.95.18.30
ns1.cmbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,8.219.78.159
ns1.cryptwechat.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,107.174.115.43
ns1.deepsekapi.cn,Possible Cobalt Strike C2 Domain,/omp/api/get_page_config,106.52.99.247
ns1.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,43.139.50.42
ns1.googleclouds.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,148.135.120.162
ns1.gygiuh.online,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.129.2.130
ns1.jane2010.filegear-sg.me,Possible Cobalt Strike C2 Domain,/updates.rss,43.230.200.254
ns1.microoosoft.com,Possible Cobalt Strike C2 Domain,/Manag_backend/jquery-3.3.1.min.js,47.236.159.248
ns1.msgkg.xyz,Possible Cobalt Strike C2 Domain,/cx,204.194.54.198
ns1.newchatsits.ir,Possible Cobalt Strike C2 Domain,/match,87.107.191.39
ns1.nmd5.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.107.136.106
ns1.ns-apache.jo3.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,167.179.76.179
ns1.nsebseshop.cloud,Possible Cobalt Strike C2 Domain,/v/741823546921,47.236.130.154
ns1.servicedata.services,Possible Cobalt Strike C2 Domain,/cx,169.239.129.45
ns1.translategoos.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,207.148.68.118
ns1.twnic.top,Possible Cobalt Strike C2 Domain,/push,45.43.59.179
ns1.yukklzwo.vip,Possible Cobalt Strike C2 Domain,/push,141.98.11.205
ns2.admlistdel.com,Possible Cobalt Strike C2 Domain,/image/,107.173.122.193
ns2.akawowfast.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,139.180.189.95
ns2.bbcbook.net,Possible Cobalt Strike C2 Domain,/api/v1/Updates,185.196.8.2
ns2.cmbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,8.219.78.159
ns2.cryptwechat.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,107.174.115.43
ns2.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,43.139.50.42
ns2.googleclouds.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,148.135.120.162
ns2.jane2010.filegear-sg.me,Possible Cobalt Strike C2 Domain,/j.ad,43.230.200.254
ns2.microoosoft.com,Possible Cobalt Strike C2 Domain,/Manag_backend/jquery-3.3.1.min.js,47.236.159.248
ns2.msgkg.xyz,Possible Cobalt Strike C2 Domain,/updates.rss,204.194.54.198
ns2.nmd5.com,Possible Cobalt Strike C2 Domain,/sharewx/1.2.1/sharewx.js,47.107.136.106
ns2.nsebseshop.cloud,Possible Cobalt Strike C2 Domain,/v/741823546921,47.236.130.154
ns2.translategoos.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,207.148.68.118
ns2.yukklzwo.vip,Possible Cobalt Strike C2 Domain,/ptj,141.98.11.205
ns3.admlistdel.com,Possible Cobalt Strike C2 Domain,/image/,107.173.122.193
ns3.akawowfast.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,139.180.189.95
ns3.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,43.139.50.42
ns3.nsebseshop.cloud,Possible Cobalt Strike C2 Domain,/ms/625478102395,47.236.130.154
ns3.translategoos.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,207.148.68.118
ossb6.oss-cn-beijing.aliyuncs.com,Possible Cobalt Strike C2 Domain,/images/logo.png,38.76.183.197
p7xcq2yw.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain,/api/v1/get,154.12.86.154
perfectgo.top,Possible Cobalt Strike C2 Domain,/api/v1/get,8.211.130.16
pull.portal.10086.cn,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,101.133.225.51
r0.erloro.com,Possible Cobalt Strike C2 Domain,/__utm.gif,137.220.194.15
releases-export-finishing-phillips.trycloudflare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,39.105.74.52
safeaxis.xyz,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,175.24.201.23
secure-server.sbs,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,147.78.2.110
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronting Domain,/Test/protect/JZJ8DALCUB,43.139.50.42
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain,/zOMGAPT,85.175.101.203
skyprotech.ru,Possible Cobalt Strike C2 Domain,/pixel.gif,77.91.97.4
st1-colud-google.bond,Possible Cobalt Strike C2 Domain,/j.ad,107.173.85.194
static.slbc7890.shop,Possible Cobalt Strike C2 Domain,/cx,207.56.226.75
sys.systemworld.info,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,23.254.129.251
t.shakesnap.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,77.74.201.243
t2.shakesnap.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,77.74.201.243
test.officeplustool.top,Possible Cobalt Strike C2 Domain,/ca,47.86.184.71
update.cdn-update.workers.dev,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,54.205.26.32
update.javashell.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,103.53.81.232
update.microsoftapply.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,154.38.114.115
update.mloadspring.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,70.34.196.238
update.qzkgpqn.kdns.fr,Possible Cobalt Strike C2 Domain,/g.pixel,43.254.166.41
updates.fisgloval.com,Possible Cobalt Strike C2 Domain,/7/1881/26640/v001/download/24_2_08.pdf,34.202.161.96
updatesrv.net,Possible Cobalt Strike C2 Domain,/___utm.gif,169.239.128.43
upgrade.mloadspring.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,70.34.196.238
util.advertising-platform.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,139.196.223.82
ux85qfba.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain,/api/v1/get,154.12.86.154
vv4.qpalzmonline.uk,Possible Cobalt Strike C2 Domain,/push,117.72.79.68
web-analyzer-serv32.com,Possible Cobalt Strike C2 Domain,/___utm.gif,169.239.128.43
webcloudplt2.oss-cn-shanghai.aliyuncs.com,Possible Cobalt Strike C2 Fronted Domain,/Test/protect/JZJ8DALCUB,43.139.50.42
webshareclouds.com,Possible Cobalt Strike C2 Domain,/api/v1/get,8.211.130.16
win.spaceshlp.com,Possible Cobalt Strike C2 Domain,/serviceexperimentation/v3/,8.163.56.153
ws.227api.com,Possible Cobalt Strike C2 Domain,/match,43.225.158.58
ws1.227api.com,Possible Cobalt Strike C2 Domain,/en_US/all.js,43.225.158.58
wsus.227api.com,Possible Cobalt Strike C2 Domain,/api/v1/sys/updates,103.210.236.87
wsus2.227api.com,Possible Cobalt Strike C2 Domain,/api/v1/sys/updates,103.210.236.87
www.ai2.qzz.io,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,43.155.169.245
www.api-aws.xyz,Possible Cobalt Strike C2 Domain,/jquery/user/preferences,167.71.233.187
www.cement-chemistry.com,Possible Cobalt Strike C2 Domain,/img/avatar.svg,47.239.222.85
www.chaitin.cn,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,124.71.231.231
www.chinagasholdings.space,Possible Cobalt Strike C2 Domain,/pixel,101.133.229.117
www.cloudflara.xyz,Possible Cobalt Strike C2 Domain,/milu_image/,172.86.107.2
www.dyshop.online,Possible Cobalt Strike C2 Domain,/login.js,111.229.4.108
www.ggccloud.top,Possible Cobalt Strike C2 Domain,/api/v2.0/me/messages,149.104.23.176
www.haozhizhenkong.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,124.71.231.231
www.mfmni.shop,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,156.245.144.203
www.mfmni.shop,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,27.71.16.98
www.microsslcheck.com,Possible Cobalt Strike C2 Domain,/api/stream,193.53.127.220
www.ntn.it.com,Possible Cobalt Strike C2 Domain,/ga.js,45.64.113.151
www.polymarketapi.xyz,Possible Cobalt Strike C2 Domain,/image/,146.19.248.8
www.pronhub.shop,Possible Cobalt Strike C2 Domain,/en_US/all.js,68.64.178.130
www.quick-shares.com,Possible Cobalt Strike C2 Domain,/api/v1/servlet/getuserinfo,101.132.173.62
www.rmsmarineservice.com.qwqqwq.ggff.net,Possible Cobalt Strike C2 Domain,/j.ad,139.226.191.149
www.rmsmarineservice.com.qwqqwq.ggff.net,Possible Cobalt Strike C2 Domain,/j.ad,223.166.30.24
www.rmsmarineservice.com.qwqqwq.ggff.net,Possible Cobalt Strike C2 Domain,/j.ad,223.166.31.185
www.swchx.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,52.76.67.193
www.yukklzwo.vip,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,141.98.11.205
www.yukklzwo.vip,Possible Cobalt Strike C2 Domain,/cx,141.98.11.205
www.zp857.online,Possible Cobalt Strike C2 Domain,/get/resource/content.js,111.124.203.18
wxblockchain.cn,Possible Cobalt Strike C2 Fronting Domain,/archive/common/status,47.117.143.185
wxblockchain.cn.w.kunlunpi.com,Possible Cobalt Strike C2 Fronted Domain,/archive/common/status,47.117.143.185
xbjy123.com,Possible Cobalt Strike C2 Fronted Domain,/aaaaaaaaa,120.24.64.74
xulnai.com,Possible Cobalt Strike C2 Domain,/api/v1/health,107.173.38.158
zhimawithyou.top,Possible Cobalt Strike C2 Fronted Domain,/api/v1/node/check,165.154.225.239
