file_path,metadata_comment
*.TheTrumpLockerf,TheTrumpLocker ransomware
*.TheTrumpLockerfp,TheTrumpLocker ransomware
*.Venusf,
*.Venusp,
*.VforVendetta,
*.WNCRY,WannaCry ransomware
*.Where_my_files.txt,WannaCry ransomware
*.Whereisyourfiles,
*.XRNT,
*.XTBL,
*.Z81928819,
*._AiraCropEncrypted,
*.__AiraCropEncrypted!,
*.___xratteamLucked,
*._crypt,
*._read_thi$_file,
*._ryp,
*.a19,
*.a5zfn,
*.aaa,
*.abc,
*.adair,
*.adk,
*.adr,
*.aes128ctr,
*.aes_ni,
*.aes_ni_0day,
*.aes_ni_gov,
*.aesir,
*.aesir,AESIR ransomware
*.aga,
*.alcatraz,
*.amba,
*.amnesia,Amnesia ransomware
*.angelamerkel,
*.animus,
*.antihacker2017,
*.ap19,
*.arena,Arena ransomware
*.areyoulovemyrans,
*.asier,
*.atlas,
*.aurora,Aurora ransomware
*.avos,AvosLocker ransomware
*.avos2,AvosLocker ransomware
*.avoslinux,AvosLocker ransomware
*.axx,
*.barracuda,
*.bart,Bart ransomware
*.bart.zip,Bart ransomware
*.bip,Bip ransomware
*.birbb,
*.bitkangoroo,
*.bitstak,
*.black007,
*.bleep,
*.bleepYourFiles,
*.bloc,
*.blocatto,
*.block,
*.boom,
*.braincrypt,
*.breaking_bad,Troldesh / Shade or Encoder.858 ransomware
*.heisenberg,Troldesh / Shade or Encoder.858 ransomware
*.better_call_saul,Troldesh / Shade or Encoder.858 ransomware
*.los_pollos,Troldesh / Shade or Encoder.858 ransomware
*.da_vinci_code,Troldesh / Shade or Encoder.858 ransomware
*.magic_software_syndicate,Troldesh / Shade or Encoder.858 ransomware
*.no_more_ransom,Troldesh / Shade or Encoder.858 ransomware
*.windows8,Troldesh / Shade or Encoder.858 ransomware
*.windows10,Troldesh / Shade or Encoder.858 ransomware
*.tyson,Troldesh / Shade or Encoder.858 ransomware
*.crypted000007,Troldesh / Shade or Encoder.858 ransomware
*.crypted000078,Troldesh / Shade or Encoder.858 ransomware
*.rsa3072,Troldesh / Shade or Encoder.858 ransomware
*.decrypt_it,Troldesh / Shade or Encoder.858 ransomware
*.miami_california,Troldesh / Shade or Encoder.858 ransomware
*.breeding123,
*.bript,
*.brrr,
*.btc,Jigsaw ransomware
*.btc-help-you,
*.btcbtcbtc,
*.cancer,
*.canihelpyou,
*.cbf,
*.ccc,Cerber ransomware
*.cccmn,
*.cerber,
*.cerber,Cerber ransomware
*.cerber2,
*.cerber2,Cerber ransomware
*.cerber3,
*.cerber3,Cerber ransomware
*.checkdiskenced,
*.chifrator@qq_com,
*.cifgksaffsfyghd,
*.clf,
*.clop,Clop ransomware
*.cnc,
*.cobain,
*.code,
*.coded,
*.comrade,
*.conficker,
*.country82000,
*.coverton,
*.crYpt,
*.crYptA,
*.crYptA2,
*.crYptA3,
*.crYptAl,
*.crYptB,
*.crYptB2,
*.crYptC,
*.crYptC2,
*.crYptD,
*.crYptE,
*.crYptF,
*.crab,GandCrab ransomware
*.GDCB,GandCrab ransomware
*.KRAB,GandCrab ransomware
*.FONIX,Fonix ransomware
*.XINOF,Fonix ransomware
*.crashed,
*.crime,
*.crinf,
*.criptiko,
*.criptoko,
*.criptokod,
*.cripttt,
*.crjoker,
*.crptrgr,
*.cry,
*.cry_,
*.cryakl,
*.cryeye,
*.cryp1,
*.crypt,FindZip ransomware
*.crypt38,
*.crypte,
*.crypted,
*.crypted_file,
*.cryptes,
*.crypto,
*.cryptolocker,CryptoLocker ransomware
*.crypton,
*.cryptowall,
*.cryptowall,CryptoWall ransomware
*.cryptowin,
*.cryptz,
*.crypz,
*.crysis,
*.css,
*.ctb1,
*.ctb2,CTB-Locker ransomware
*.ctbl,CTB-Locker ransomware
*.czvxce,
*.d4nk,
*.dCrypt,
*.dale,
*.damage,
*.darkcry,DarkCry ransomware
*.darkness,
*.decrypt2017,
*.ded,
*.dedsec,
*.deria,
*.desu,
*.dharma,Dharma ransomware
*.diablo6,Diablo6 ransomware
*.disappeared,
*.disposed2017,
*.divine,
*.domino,
*.doubleoffset,
*.dxxd,
*.dyatel@qq_com,
*.ecc,
*.edgel,
*.eight,
*.emario,
*.enc,
*.encedRSA,
*.enciphered,
*.encmywork,
*.encoderpass,
*.encr,
*.encrypt,
*.encrypted,Jigsaw ransomware
*.encrypted,P2Pinfect
*.encryptedAES,
*.encryptedRSA,
*.encryptedped,
*.encryptedyourfiles,
*.encrypto,
*.enigma,Enigma ransomware
*.epic,
*.evillock,
*.exotic,
*.exte,
*.exx,
*.ezz,
*.fantom,Fantom ransomware
*.fear,
*.file0locked,
*.filegofprencrp,
*.fileiscryptedhard,
*.filock,
*.firecrypt,FireCrypt ransomware
*.flamingo,
*.frtrss,
*.fs0ciety,
*.fuck,
*.fucku,
*.fun,
*.gamma,Gamma ransomware
*.gefickt,Jigsaw ransomware
*.gembok,
*.bloccato,HiddenTear ransomware
*.fucked,HiddenTear ransomware
*.flyper,HiddenTear ransomware
*.Hollycrypt,HiddenTear ransomware
*.8lock8,HiddenTear ransomware
*.monstro,HiddenTear ransomware
*.unlockit,HiddenTear ransomware
*.saeid,HiddenTear ransomware
*.mecpt,HiddenTear ransomware
*.lok,HiddenTear ransomware
*.BUGSECCCC,HiddenTear ransomware
*.krypted,HiddenTear ransomware
*.CAZZO,HiddenTear ransomware
*.kratos,HiddenTear ransomware
*.doomed,HiddenTear ransomware
*.encryptedJB,HermeticRansom
*.ACRYPT,Globe ransomware
*.globe,Globe ransomware
*.glutton,
*.goforhelp,
*.good,
*.grinch,
*.grt,
*.gruzin@qq_com,
*.gryphon,
*.gws,Jigsaw ransomware
*.ha3,
*.hairullah@inbox.lv,
*.hakunamatata,
*.hannah,
*.happenencedfiles,
*.happyday,
*.happydayzz,
*.happydayzzz,
*.haters,
*.hb15,
*.helpdecrypt@ukr*.net,
*.helpdecrypt@ukr.net,
*.helpdecrypt@ukr_net,
*.helpmeencedfiles,
*.hendrix,
*.herbst,
*.hermes,Hermes ransomware
*.hitler,
*.hnumkhotep,
*.homer,
*.howcanihelpusir,
*.hush,
*.hydracrypt*,
*.hydracrypt,
*.iaufkakfhsaraf,
*.ifuckedyou,
*.iloveworld,
*.infected,
*.invaded,
*.invoke,
*.ipYgh,
*.isis,
*.iwanthelpuuu,
*.iwishiyou,
*.jaff,Jaff ransomware
*.jasmin,
*.java,
*.jnec,
*.justbtcwillhelpyou,
*.karma,
*.kb15,
*.keemail.me,
*.keepcalm,
*.kencf,
*.kernel_complete,
*.kernel_pid,
*.kernel_time,
*.keybtc@inbox_com,
*.killedXXX,
*.kimcilware,
*.kirked,
*.kk,
*.kkk,
*.korrektor,
*.kostya,
*.kr3,
*.krab,Krab ransomware
*.purged,Globe ransomware
*.kraken,
*.kyra,Globe ransomware
*.lambda_l0cked,
*.lcked,
*.lechiffre,LeChiffre ransomware
*.legion,
*.lesli,
*.letmetrydecfiles,
*.like,
*.lock,
*.lock93,
*.locked,
*.locked-mafiaware,
*.locklock,
*.locky,
*.locky,Locky ransomware
*.lol!,
*.lol,
*.loli,
*.loprt,
*.loveransisgood,
*.lovewindows,
*.lukitus,
*.lukitus,Lukitus ransomware
*.madebyadam,
*.magic,
*.maktub,Maktub ransomware
*.malki,
*.mario,
*.maya,
*.mention9823,
*.merry,Merry ransomware
*.micro,Micro ransomware
*.mole,
*.mole,Mole ransomware
*.moments2900,
*.muuq,
*.myransext2017,
*.nalog@qq_com,
*.nemo-hacks.at.sigaint.org,
*.nemucod,
*.nobad,
*.nochance,
*.nolvalid,
*.noproblemwedecfiles,
*.notfoundrans,
*.nuclear,Nuclear ransomware
*.nuclear55,
*.obleep,
*.odcodc,
*.odin,Odin ransomware
*.oled,
*.omg,
*.one-we_can-help_you,
*.onion,
*.onion.to._,
*.only-we_can-help_you,
*.oops,
*.oor,
*.openforyou@india.com,
*.oplata@qq.com,
*.oplata@qq_com,
*.oshit,
*.osiris,
*.osiris,Osiris ransomware
*.otherinformation,
*.oxr,
*.p5tkjw,
*.pablukcrypt,
*.padcrypt,PadCrypt ransomware
*.paybtcs,Jigsaw ransomware
*..payb,Jigsaw ransomware
*.paym,Jigsaw ransomware
*.paymrss,Jigsaw ransomware
*.payms,Jigsaw ransomware
*.paymst,Jigsaw ransomware
*.paymts,Jigsaw ransomware
*.payransom,Jigsaw ransomware
*.payrms,Jigsaw ransomware
*.payrmts,Jigsaw ransomware
*.pays,Jigsaw ransomware
*.paytounlock,
*.pornoransom,Jigsaw ransomware
*.pdcr,
*.pec,
*.pizda@qq_com,
*.porno,Jigsaw ransomware
*.potato,
*.powerfulldecryp,
*.powerfulldecrypt,
*.powned,
*.pr0tect,
*.prosperous666,
*.pubg,
*.purge,
*.pzdc,
*.r16m*,
*.r16m,
*.r3store,
*.r5a,
*.siri-down@india.com,Globe ransomware
*.raid10,Globe ransomware
*.raid9,Globe ransomware
*.raid8,Globe ransomware
*.raid7,Globe ransomware
*.raid6,Globe ransomware
*.raid5,Globe ransomware
*.raid4,Globe ransomware
*.raid3,Globe ransomware
*.raid2,Globe ransomware
*.raid1,Globe ransomware

*.rastakhiz,
*.razy,Razy ransomware
*.rdm,
*.rdmk,
*.realfs0ciety@sigaint.org.fs0ciety,
*.recry1,
*.rekt,
*.relock@qq_com,
*.remind,
*.reyptson,
*.rip,
*.rmd,
*.rnsmwr,
*.rokku,
*.royal_u,
*.rrk,
*.ruby,
*.rumba,
*.ryp,
*.sage,Sage ransomware
*.salsa222,
*.sanction,
*.scl,
*.serp,
*.serpent,Serpent ransomware
*.sexy,
*.shino,
*.shit,
*.sifreli,
*.skjdthghh,
*.spora,Spora ransomware
*.sport,
*.stn,
*.stubbin,
*.supercrypt,
*.supported2017,
*.suppose665,
*.suppose666,
*.surprise,Surprise ransomware
*.szf,
*.t5019,
*.tedcrypt,
*.tgpo,
*.thda,
*.theworldisyours,
*.thor,Thor ransomware
*.toxcrypt,
*.trmt,
*.troyancoder@qq_com,
*.trun,
*.ttt,
*.tzu,
*.uk-dealer@sigaint.org,Jigsaw ransomware
*.umbreCrypt,
*.unavailable,
*.unlockvt@india.com,
*.vape,
*.vault,
*.vbransom,
*.vekanhelpu,
*.velikasrbija,
*.venusf,
*.versiegelt,
*.viki,
*.vindows,
*.visioncrypt,
*.vscrypt,
*.vvv,
*.vxLock,
*.vxlock,
*.wallet,
*.wcry,WannaCry ransomware
*.weapologize,
*.weareyourfriends,
*.weencedufiles,
*.wflx,
*.wlu,
*.wncry,WannaCry ransomware
*.wncrypt,WannaCry ransomware
*.wncryt,WannaCry ransomware
*.wnry,WannaCry ransomware
*.wnx,
*.wowreadfordecryp,
*.wowwhereismyfiles,
*.wuciwug,
*.www,
*.xcri,
*.xdata,XData ransomware
*.xiaoba,
*.xort,
*.xrnt,
*.xrtn,
*.xtbl,Globe ransomware
*.zendrz,Globe ransomware
*.hnyear,Globe ransomware
*.xxx,
*.xyz,
*.ya.ru,
*.yourransom,
*.ytbl,
*.zXz,
*.zc3791,
*.zcrypt,
*.zendr9,Globe ransomware
*.zendr8,Globe ransomware
*.zendr7,Globe ransomware
*.zendr6,Globe ransomware
*.zendr4,Globe ransomware
*.zendr5,Globe ransomware
*.zendr3,Globe ransomware
*.zendr2,Globe ransomware
*.zendr1,Globe ransomware
*.zepto,
*.zepto,Zepto ransomware
*.zorro,
*.zyklon,Zyklon ransomware
*.zzz,
*.zzzzz,
