"appname","appid","metadata_category","metadata_severity","metadata_comment","metadata_link","metadata_reference"
"Dynamic Alerts","707be275-6b9d-4ee7-88f9-c0c2bd646e0f","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Device Management Enrollment","709110f7-976e-4284-8851-b537e9bcb187","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Customer Engagement Portal","71234da4-b92f-429d-b8ec-6e62652e50d7","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Marketplace Container Management API","737d58c1-397a-46e7-9d12-7d8c830883c2","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"ADIbizaUX","74658136-14ec-4630-ad9b-26e160ff0fc6","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Intune Web Company Portal","74bcdadc-2fdc-4bb3-8459-76d06952a0e9","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"M365 Label Analytics","75513c96-801d-4559-830a-6754de13dd19","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Skype for Business","7557eb47-c689-4224-abcf-aef9bd7573df","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Teams Retail Service","75efb5bc-18a1-4e7b-8a66-2ad2503d79c6","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Exchange Office Graph Client for AAD - Noninteractive","765fe668-04e7-42ba-aec0-2c96f1d8b652","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure SQL Managed Instance to Microsoft.Network","76c7f279-7959-468f-8943-3954880e0d8c","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Container Registry Application","76c92352-c057-4cc2-9b1e-f34c32bc58bd","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure SQL Virtual Network to Network Resource Provider","76cd24bf-a9fc-4344-b1dc-908275de6d6d","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft.Blockchain Azure Resource Provider","78827f38-7b69-4d5e-a627-d6fdd9c759a0","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Exchange Rbac","789e8929-0390-42a2-8934-0f9dafb8ec89","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Yggdrasil","78e7bc61-0fab-4d35-8387-09a8d2f5a59d","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Intune Advanced Threat Protection Integration","794ded15-70c6-4bcd-a0bb-9b7ad530a01a","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Windows Azure Service Management API","797f4846-ba00-4fd7-ba43-dac1f8f63013","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Resource Manager","797f4846-ba00-4fd7-ba43-dac1f8f63013","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Bastion","79d7fb34-4bef-4417-8184-ff713af7a679","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"App Service","7ab7862c-4c57-491e-8a45-d52a7e023983","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft O365 Scuba","7ae5462d-d9d1-42f6-93ca-198d7b0ca997","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"OutlookUserSettingsConsumer","7ae974c5-1af7-4923-af3a-fb1fd14dcb7e","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Directory and Policy Cache","7b58f833-4438-494c-a724-234928795a67","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Advanced Threat Protection","7b7531ad-5926-4f2d-8a1d-38495ad33e17","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft.SecurityDevOps Resource Provider","7bf610f7-ecaf-43a2-9dbc-33b14314d6fe","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Network Watcher","7c33bfcb-8d33-48d6-8e60-dc6404003489","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Data Classification Service","7c99d979-3b9c-4342-97dd-3239678fb300","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Logic Apps","7cd684f4-8a78-49b0-91ec-6a35d38739ba","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Cognitive Services","7d312290-28c8-473c-a0ed-8e53749b6d6d","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Power Platform Data Analytics","7dcff627-a295-4553-9229-b1f3513f82a8","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Flow Service","7df0a125-d3be-4c96-aa54-591f83ff541c","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Intune DeviceDirectory ConfidentialClient","7e313d81-57dd-4bdd-906e-337963583de3","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Azure Container Apps - Control Plane","7e3bc4fd-85a3-4192-b177-5b8bfc87f42c","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Federated Profile Service","7e468355-e4db-46a9-8289-8d414c89c43c","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Account Controls V2 [Community Contributed]","7eadcef8-456d-4611-9480-4fff72b8b9e2","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Intune DiagnosticService","7f0d9978-eb2a-4974-88bd-f22a3006fe17","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Export to data lake","7f15f9d9-cad0-44f1-bbba-d36650e07765","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Synapse Link for Dataverse","7f15f9d9-cad0-44f1-bbba-d36650e07765","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Power BI Desktop [Community Contributed]","7f67af8a-fedc-4b08-8b4e-37c4d127b6cf","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Media Service","803ee9ca-3f7f-4824-bd6e-0b99d720c35c","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft.ServiceBus","80a10ef9-8168-493d-abf9-3297c4ef6e3c","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft 365 Security and Compliance Center","80ccca67-54bd-44ab-8625-4b79c4dc7775","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Billing RP","80dbdb39-4f33-4799-8b6f-711b5e3e61b6","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure AD Identity Governance - Entitlement Management","810dcf14-1858-4bf2-8134-4c369fa3235b","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Defender for Cloud MultiCloud Onboarding","81172f0f-5d81-47c7-96f6-49c58b60d192","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Cortana Runtime Service","81473081-50b9-469a-b9d8-303109583ecb","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"EventGrid Data API","823c0a78-5de0-4445-a7f5-c2f42d7dc89b","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Teams Wiki Images Migration","823dfde0-1b9a-415a-a35a-1ad34e16dd44","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Exchange Online [Community Contributed]","82d8ab62-be52-a567-14ea-1616c4ee06c4","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Meeting Migration Service","82f45fb0-18b4-4d68-8bed-9e44909e3890","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Lab Services Portal","835b2a73-6e10-4aa5-a979-21dfda45231c","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Stream Mobile Native","844cca35-0656-46ce-b636-13f48b0eecbd","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Information Protection Sync Service","870c4f2e-85b6-4d43-bdda-6ed9a579b725","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Power BI","871c010f-5e61-4fb1-83ac-98610a7e9110","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Outlook Web App Widgets","87223343-80b1-4097-be13-2332ffa1d666","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Visual Studio","872cd9fa-d31f-45e0-9eab-6e460a02d1f1","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Teams - Device Admin Agent","87749df4-7ccf-48f8-aa87-704bad0e0e16","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"SharePoint Notification Service","88884730-8181-4d82-9ce2-7d5a7cc7b81e","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Business Central to Common Data Service","88c57617-94ff-4043-a396-8a85a8d38922","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Parature Dynamics CRM","8909aac3-be91-470c-8a0b-ff09d669af91","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Box","89220c47-d3bd-4942-a242-bda247a5bc5b","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Office365 Shell WCSS-Client","89bee1f7-5e6e-4d8a-9f3d-ecd601259da7","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Teams Application Gateway","8a753eec-59bc-4c6a-be91-6bf7bfe0bcdf","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Device Management EMM API","8ae6a0b1-a07f-4ec9-927a-afb8d39da81c","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"O365 Secure Score","8b3391f4-af01-4ee8-b4ea-9871b2499735","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"PowerAI","8b62382d-110e-4db8-83a6-c7e8ee84296a","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"DeploymentScheduler","8bbf8725-b3ca-4468-a217-7c8da873186e","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"ResourceHealthRP","8bdebf23-c0fe-4187-a378-717ad86f6a53","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"M365 Pillar Diagnostics Service API","8bea2130-23a1-4c09-acfb-637a9fb7c157","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"My Profile","8c59ead7-d703-4a27-9e55-c96a0054c8d2","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Power Query Online GCC-L5","8c8fbf21-0ef3-4f60-81cf-0df811ff5d16","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Policy Insights Provider Data Plane","8cae6e77-e04e-42ce-b5cb-50d82bce26b1","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Office Licensing Service","8d3a7d3c-c034-4f19-a2ef-8412952a9671","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Azure Signup Portal","8e0e8db5-b713-4e91-98e6-470fed0aa4c2","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Teams Targeting Application","8e14e873-35ba-4720-b787-0bed94370b17","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Windows Azure Security Resource Provider","8edd93e1-2103-40b4-bd70-6e34e586362d","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Threat Protection","8ee8fdad-f234-4243-8f3b-15c294843740","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"EDU Assignments","8f348934-64be-4bb2-bc16-c54c96789f43","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Device Directory Service","8f41dc7c-542c-4bdd-8eb3-e60543f607ca","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft.SMIT","8fca0a66-c008-4564-a876-ab3ae0fd5cff","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Sway","905fcf26-4eb7-48a0-9ff0-8dcc7194b5ba","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"AADRM","90f610bf-206d-4950-b61d-37fa6fd1b224","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Blockchain Service","911e905a-a50e-4c94-9f7c-48bb12f549ed","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Dynamics Lifecycle services","913c6de4-2a4a-4a61-a9ce-945d2b2ce2e0","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"asmcontainerimagescanner","918d0db8-4a38-4938-93c1-9313bdfe0272","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"One Outlook Web","9199bf20-a13f-4107-85dc-02114787ef48","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Sticky Notes API","91ca2ca5-3b3e-41dd-ab65-809fa3dffffa","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Groupies Web Service","925eb0d0-da50-4604-a19f-bd8de9147958","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"ComplianceWorkbenchApp","92876b03-76a3-4da8-ad6a-0511ffdf8647","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft password reset service","93625bc8-bfe2-437a-97e0-3d0060024faa","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Power Query Online GCC-L2","939fe80f-2eef-464f-b0cf-705d254a2cf2","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Power Platform Global Discovery Service","93bd1aa4-c66b-4587-838c-ffc3174b5f13","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Office Online Add-in SSO","93d53678-613d-4013-afc1-62e9e444a0a5","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Media Analysis and Transformation Service","944f0bd1-117b-4b1c-af26-804ed95e767e","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Office Delve","94c63fef-13a3-47bc-8074-75af8c65887a","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft_Azure_Support","959678cf-d004-4c22-82a6-d2ce549a58b8","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Whiteboard Services","95de633a-083e-42f5-b444-a4295d8e9314","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Power Virtual Agents ","96ff4394-9197-43aa-b393-6a41652e21f8","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
