pipe_name,metadata_description,metadata_tool,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_tool_type,metadata_usage,metadata_comment,metadata_reference,metadata_regex_cortex
\pyc-*,Python compiled files - Benign and part of normal Python operations but could indicate malicious activity in environments where Python is uncommon,Python,Compliance,,info,high,info,greyware_tool,Hunting,could detect some stealer - still a compliance rule reserved for TH,https://github.com/mthcht/awesome-lists,^pyc-.*
\foobar,suspicious string - could be a test - often used in POC exploitation for demonstration,_,,https://github.com/mthcht/awesome-lists,high,,medium,offensive_tool,Hunting,,https://github.com/mthcht/awesome-lists,^foobar$
\pipename,suspicious string - could be a test,_,,https://github.com/mthcht/awesome-lists,high,,medium,offensive_tool,Hunting,,https://github.com/mthcht/awesome-lists,^pipename$
\piper,From High Integrity to SYSTEM with Name Pipes,_,Privilege Escalation,https://book.hacktricks.xyz/windows-hardening/windows-local-privilege-escalation/from-high-integrity-to-system-with-name-pipes,critical,,critical,offensive_tool,detection rule,,https://book.hacktricks.xyz/windows-hardening/windows-local-privilege-escalation/from-high-integrity-to-system-with-name-pipes,^piper$
\testpipe,Hunting for suspicious string,_,,https://unit42.paloaltonetworks.com/emissary-panda-attacks-middle-east-government-sharepoint-servers/,high,high,medium,offensive_tool,Hunting,used by a lot of legitimate projects,https://unit42.paloaltonetworks.com/emissary-panda-attacks-middle-east-government-sharepoint-servers/,^testpipe$
\$77childproc64,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit,^$77childproc64$
\$77stager,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit,^$77stager$
\$77svc32,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit,^$77svc32$
\$77svc64,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit,^$77svc64$
\$77config,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit,^$77config$
\$77childproc,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit,^$77childproc$
\$77control_redirec,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit,^$77control_redirec$
\$77control,Fileless ring 3 rootkit with installer and persistence that hides processes - files - network connections,77-rootkit,Persistence,https://github.com/bytecode77/r77-rootkit/blob/e2faaf8b095239fc6522bd3a897a9e5d1f0cd79e/%24Examples/ControlPipe.cpp#L11,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/tree/main/tools/R-T/r77-rootkit,^$77control$
\DAV RPC SERVICE,used by aeroadmin for remote control (also used by other lateral movement tools and tools like keepass and chrome),aeroadmin,RMM,https://ulm.aeroadmin.com/AeroAdmin.exe,high,high,medium,greyware_tool,Hunting,,https://ulm.aeroadmin.com/AeroAdmin.exe,^DAV RPC SERVICE$
\AmperageAIXSysRemove,enabling Recall in Windows 11 version 24H2 on unsupported devices,AmperageKit,Collection,https://github.com/thebookisclosed/AmperageKit/blob/6e6ef23c0d61aec38f3c1f00d9db53d92b42cc1e/Amperage/Program.cs#L283,high,none,medium,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/AmperageKit.csv,^AmperageAIXSysRemove$
\AmperageHwReqDetour,enabling Recall in Windows 11 version 24H2 on unsupported devices,AmperageKit,Collection,https://github.com/thebookisclosed/AmperageKit/blob/6e6ef23c0d61aec38f3c1f00d9db53d92b42cc1e/Amperage/Program.cs#L283,high,none,medium,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/AmperageKit.csv,^AmperageHwReqDetour$
\adprinterpipe,anydesk,anydesk,RMM,https://www.hybrid-analysis.com/sample/99dcdda32ee45835489890b3bcc273116bdcf6c263e0cf6f74542ea3d56b78a1/60e21d53d4e6ff722e5617e6,low,high,medium,greyware_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/anydesk.csv,^adprinterpipe$
\ssnp,APT1 pipe,APT1,Malware,https://github.com/Yara-Rules,high,,high,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^ssnp$
\samr,BadPotato leaks a system token handle through the MS RPN API which can be used to get NT AUTHORITY\SYSTEM access if you have the SeImpersonatePrivilege - also lots of legit uses could be observed,BadPotato,Privilege Escalation,https://github.com/calebstewart/pwncat-badpotato/blob/29b919d7d15c86836fc6c2fda4e3be8083a31fb1/RPC/samr.cs#L120,high,critical,info,offensive_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/D-F/Earth%20Lusca%20Operations%20Tools%20.csv,^samr$
\Bomgar-enum_cp-*,Bomgar Beyoudtrust Remote access software - named pipe used by *:\ProgramData\bomgar-scc-*\bomgar-scc.exe,Bomgar,RMM,beyondtrustcloud.com,high,none,high,greyware_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/Bomgar.csv,^Bomgar-enum_cp-.*
\0029482318be6784,bumblebee malware,bumblebee,Malware,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,critical,,critical,offensive_tool,detection rule,,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,^0029482318be6784$
\7fd13a,bumblebee malware,bumblebee,Malware,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,high,medium,medium,offensive_tool,Hunting,,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,^7fd13a$
\uwjjqz,bumblebee malware,bumblebee,Malware,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,high,medium,medium,offensive_tool,Hunting,,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,^uwjjqz$
\vllyad,bumblebee malware,bumblebee,Malware,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,high,medium,medium,offensive_tool,Hunting,,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,^vllyad$
\wafrms,bumblebee malware,bumblebee,Malware,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,critical,,critical,offensive_tool,detection rule,,https://thedfirreport.com/2022/11/14/bumblebee-zeros-in-on-meterpreter/,^wafrms$
\aswSP_Avar*,BYOD to kill AV/EDR,BYOVD_kill_av_edr,Defense Evasion,https://github.com/infosecn1nja/red-team-scripts/blob/main/BYOVD_kill_av_edr.c,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/BYOVD_kill_av_edr.csv,^aswSP_Avar.*
*IpHlpSvc.log*,kernel exploit Chimichurri.cpp,Chimichurri,Privilege Escalation,https://github.com/helloexp/0day/blob/29bd78f73941b39e36d38cd1653433dcf2ce588e/97-Windows%E6%8F%90%E6%9D%83/MS09-012/Chimichurri/Chimichurri.cpp#L98,critical,,critical,offensive_tool,detection rule,,https://github.com/helloexp/0day/blob/29bd78f73941b39e36d38cd1653433dcf2ce588e/97-Windows%E6%8F%90%E6%9D%83/MS09-012/Chimichurri/Chimichurri.cpp#L98,^.*IpHlpSvc.log.*
\A09C7C26ED857C36,Cinmeng Trojan,Cinmeng,Malware,https://github.com/roadwy/DefenderYara/blob/9bbdb7f9fd3513ce30aa69cd1d88830e3cf596ca/Trojan/Win32/Cinmeng/Trojan_Win32_Cinmeng.yar#L21,critical,none,high,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^A09C7C26ED857C36$
\[1428],CloudSorcerer APT backdoor module,CloudSorcerer,Malware,https://securelist.com/cloudsorcerer-new-apt-cloud-actor/113056/,high,medium,medium,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^[1428]$
\WkSvcPipeMgr_*,cobaltstrike pipe names,CobaltStrike,C2,https://thedfirreport.com/2024/08/26/blacksuit-ransomware/,critical,none,high,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^WkSvcPipeMgr_.*
\MSSE-*-server,cobaltstrike pipe names,CobaltStrike,C2,https://www.cobaltstrike.com/blog/learn-pipe-fitting-for-all-of-your-offense-projects,critical,none,high,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^MSSE-.*-server$
\hashdump,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/awesome-lists,^hashdump$
\334485,CobaltStrike Beacon Activity,CobaltStrike,C2,https://github.com/NextronSystems/APTSimulator/blob/9061d12d0474d971726c2fc08b395af1394fc74b/test-sets/cobaltstrike/cobaltstrike-simulation.bat#L46,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^334485$
\461092,CobaltStrike Beacon Activity,CobaltStrike,C2,https://github.com/outflanknl/RedELK/blob/417793d467e031bb0ba253985054bdf1486a85cb/elkserver/mounts/sample-data/logs/cobaltstrike/logs/200330/10.1.4.10/beacon_22170412.log#L493,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^461092$
\66bee3,GetSystem in Meterpreter & Cobalt Strikes Beacon,CobaltStrike,C2,https://github.com/splunk/car/blob/5f74ab40c7e27accc38a5ee0fa664a68dbabc0cc/docs/analytics/CAR-2021-02-002/index.md?plain=1#L100,critical,medium,low,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^66bee3$
\8e8988b257e9dd2ea44ff03d44d26467b7c9ec16,CobaltStrike_CNA CVE_2020_0787 ,CobaltStrike,Privilege Escalation,https://github.com/yanghaoi/CobaltStrike_CNA/blob/7134e77c410cdfdd9c4081ed2bc12b1e3291b1aa/PrivilegeEscalation/CVE_2020_0787.cna#L14,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^8e8988b257e9dd2ea44ff03d44d26467b7c9ec16$
\demoagent_11,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^demoagent_11$
\demoagent_22,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^demoagent_22$
\DserNamePipe*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,high,low,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^DserNamePipe.*
\keylogger,cobaltstrike pipe names,CobaltStrike,C2,,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^keylogger$
\netview,cobaltstrike pipe names,CobaltStrike,C2,,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^netview$
\portscan,cobaltstrike pipe names,CobaltStrike,C2,,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^portscan$
\screenshot,cobaltstrike pipe names,CobaltStrike,C2,,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^screenshot$
\sshagent,cobaltstrike pipe names,CobaltStrike,C2,,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^sshagent$
\PIPEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA*,cobaltstrike pipe names,CobaltStrike,C2,,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^PIPEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA.*
\bypassuac,cobaltstrike pipe names,CobaltStrike,C2,,critical,low,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^bypassuac$
\f4c3*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,high,low,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^f4c3.*
\f53f*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,high,low,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^f53f.*
\fullduplex_*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^fullduplex_.*
\fvxens,GetSystem in Meterpreter & Cobalt Strike Beacon,CobaltStrike,C2,https://github.com/splunk/car/blob/5f74ab40c7e27accc38a5ee0fa664a68dbabc0cc/docs/analytics/CAR-2021-02-002/index.md?plain=1#L100,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^fvxens$
\mojo.5688.8052.183894939787088877*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,medium,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^mojo.5688.8052.183894939787088877.*
\mojo.5688.8052.35780273329370473*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,medium,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^mojo.5688.8052.35780273329370473.*
\msagent_*,CobaltStrike Beacon Activity,CobaltStrike,C2,https://github.com/outflanknl/RedELK/blob/417793d467e031bb0ba253985054bdf1486a85cb/elkserver/mounts/sample-data/logs/cobaltstrike/logs/200330/10.1.4.10/beacon_22170412.log#L471,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^msagent_.*
\MsFteWds*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^MsFteWds.*
\msrpc_*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^msrpc_.*
\mypipe-f*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^mypipe-f.*
\mypipe-h*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,,critical,offensive_tool,detection rule,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^mypipe-h.*
\ntsvcs*,cobaltstrike pipe names,CobaltStrike,C2,https://github.com/SigmaHQ/sigma/blob/7364ce00b1444802caaebefdccb6d8f6a92f1112/rules/windows/pipe_created/pipe_created_hktl_cobaltstrike_susp_pipe_patterns.yml#L48,critical,high,low,offensive_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/cobaltstrike.csv,^ntsvcs.*
