commandline,metadata_tool,metadata_description,metadata_link,metadata_comment
*MATCH (c:Computer)*(t:Computer)* *-[:AllowedToDelegate]* return p*,Neo4j,Neo4j queries - Computers AllowedToDelegate to other computers,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
*MATCH (c:Computer {unconsraineddelegation:true}) RETURN c*,Neo4j,Neo4j queries - Computers in Unconstrained Delegations,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
*MATCH p=(u:User)-[:SQLAdmin]*(c:Computer) return p*,Neo4j,Neo4j queries - Potential SQL Admins,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
*NETSTAT.EXE* -ano*,netstat,Adversaries may attempt to execute recon commands,N/A,
*netstat -ano*,netstat,Adversaries may attempt to execute recon commands,N/A,
*nmap-*-setup.exe*,nmap,When Nmap is used on Windows systems. it can perform various types of scans such as TCP SYN scans. UDP scans. and service/version detection. These scans enable the identification of open ports. services running on those ports. and potential vulnerabilities in target systems.,N/A,
*zenmap.exe*,nmap,When Nmap is used on Windows systems. it can perform various types of scans such as TCP SYN scans. UDP scans. and service/version detection. These scans enable the identification of open ports. services running on those ports. and potential vulnerabilities in target systems.,N/A,
Get-GPO -All,powershell,AD Module GroupPolicy - List of GPO in the domain,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-ADComputer -Filter {TrustedForDelegation -eq $True},powershell,AD Module Enumerate computers with Unconstrained Delegation,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-ADUser -Filter {TrustedForDelegation -eq $True},powershell,AD Module Enumerate computers with Unconstrained Delegation,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-ADObject -Filter {msDS-AllowedToDelegateTo * -Properties msDS-AllowedToDelegateTo*,powershell,AD Module Enumerate principals with Constrained Delegation enabled,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-DomainUser -TrustedToAuth,powershell,AD Module Enumerate principals with Constrained Delegation enabled,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-DomainComputer -TrustedToAuth,powershell,AD Module Enumerate principals with Constrained Delegation enabled,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-ADUser -Filter {DoesNotRequirePreAuth -eq $True} -Properties DoesNotRequirePreAuth,powershell,AD module Enumerate users,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-ADGroup -Filter *Name -like *admin*,powershell,AD Module Search for a particular string in attributes (admin),https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
*Get-AppLockerPolicy -Effective *,powershell,AppLocker Get AppLocker policy,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
*Invoke-UserHunter -CheckAccess*,powershell,Check local admin access for the current user where the targets are found,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-ADObject -SearchBase *CN=Shadow Principal Configuration*CN=Services* (Get-ADRootDSE).configurationNamingContext) | select *msDS-ShadowPrincipalSid*,powershell,Enumerate shadow security principals mapped to a high priv group,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-NetGroup -FullData*,powershell,Find groups in the current domain (PowerView),https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
*Invoke-EnumerateLocalAdmin -Verbose*,powershell,Find local admins on the domain machines,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
*Find-LocalAdminAccess -Verbose*,powershell,Find machine where the user has admin privs,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
cmd.exe /c PowerShell.exe -Exec ByPass -Nol -Enc *,powershell,Jenkins Abuse Without admin access,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-DomainUser -KerberosPreuthNotRequired -Verbose,powershell,Powerview Enumerate users,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-NetUser -SPN,powershell,PowerView Find users with SPN,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
*Get-LoggedonLocal -ComputerName *,powershell,PowerView get Locally logged users on a machine,https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
Get-NetGroup \*admin\*,powershell,PowerView Search for a particular string in attributes (admin),https://hideandsec.sh/books/cheatsheets-82c/page/active-directory,
*Get-NetGroupMember -GroupName *DNSAdmins*,powershell,the command is used to discover the members of a specific domain group DNSAdmins which can provide an adversary with valuable information about the target environment. The knowledge of group members can be exploited by attackers to identify potential targets for privilege escalation or lateral movement within the network.,N/A,
*\\AppData\\Local\\Temp\\Procmon64.exe*,procmon,Procmon used in user temp folder,N/A,
*\\AppData\\Local\\Temp\\Procmon.exe*,procmon,Procmon used in user temp folder,N/A,
*PsLoggedon.exe*,psloggedon,PsLoggedOn is an applet that displays both the locally logged on users and users logged on via resources for either the local computer. or a remote one,https://learn.microsoft.com/en-us/sysinternals/downloads/psloggedon,
*PsLoggedon64.exe*,psloggedon,PsLoggedOn is an applet that displays both the locally logged on users and users logged on via resources for either the local computer. or a remote one,https://learn.microsoft.com/en-us/sysinternals/downloads/psloggedon,
*install snmpcheck*,snmpcheck,automate the process of gathering information of any devices with SNMP protocol support. like snmpwalk - snmpcheck allows you to enumerate the SNMP devices and places the output in a very human readable friendly format. It could be useful for penetration testing or systems monitoring,http://www.nothink.org/codes/snmpcheck/index.php,
*snmp-check * -c public*,snmpcheck,automate the process of gathering information of any devices with SNMP protocol support. like snmpwalk - snmpcheck allows you to enumerate the SNMP devices and places the output in a very human readable friendly format. It could be useful for penetration testing or systems monitoring,http://www.nothink.org/codes/snmpcheck/index.php,
*snmpwalk -v1 -cpublic *,snmpwalk,allows you to enumerate the SNMP devices and places the output in a very human readable friendly format,https://wiki.debian.org/SNMP,
*reg query HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Lsa /v RunAsPPL*,reg,Check if LSASS is running in PPL,https://raw.githubusercontent.com/carlospolop/PEASS-ng/master/winPEAS/winPEASbat/winPEAS.bat,
*https://download.advanced-ip-scanner.com/download/files/*.exe*,advanced-ip-scanner,The program shows all network devices. gives you access to shared folders. provides remote control of computers (via RDP and Radmin) and can even remotely switch computers off. It is easy to use and runs as a portable edition (abused by TA),https://www.huntandhackett.com/blog/advanced-ip-scanner-the-preferred-scanner-in-the-apt-toolbox,
*Advanced_IP_Scanner*.exe*,advanced-ip-scanner,The program shows all network devices. gives you access to shared folders. provides remote control of computers (via RDP and Radmin) and can even remotely switch computers off. It is easy to use and runs as a portable edition (abused by TA),https://www.huntandhackett.com/blog/advanced-ip-scanner-the-preferred-scanner-in-the-apt-toolbox,
*advanced_ip_scanner*,advanced-ip-scanner,The program shows all network devices. gives you access to shared folders. provides remote control of computers (via RDP and Radmin) and can even remotely switch computers off. It is easy to use and runs as a portable edition (abused by TA),https://www.huntandhackett.com/blog/advanced-ip-scanner-the-preferred-scanner-in-the-apt-toolbox,
*Advanced IP Scanner*,advanced-ip-scanner,The program shows all network devices. gives you access to shared folders. provides remote control of computers (via RDP and Radmin) and can even remotely switch computers off. It is easy to use and runs as a portable edition (abused by TA),https://www.huntandhackett.com/blog/advanced-ip-scanner-the-preferred-scanner-in-the-apt-toolbox,
*dig * axfr *@*,dig,dig,https://linux.die.net/man/1/dig,
*dig *@* axfr*,dig,classic DNS Zone transfer request. The idea behind it is to attempt to duplicate all the DNS records for a given zone (or domain). This is a technique often used by attackers to gather information about the infrastructure of a target organization.,https://linux.die.net/man/1/dig,
*ldapsearch -x -h * -s base*,ldapsearch,ldapsearch to enumerate ldap,https://man7.org/linux/man-pages/man1/ldapsearch.1.html,
*net rpc group members 'Domain Users' -W *,samba,The?net?command is one of the new features of Samba-3 and is an attempt to provide a useful tool for the majority of remote management operations necessary for common tasks. It is used by attackers to find users list,https://www.samba.org/samba/docs/old/Samba3-HOWTO/NetCommand.html,
*www.ip-api.com*,ip-api.com,get public ip address,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*dnscmd . /enumrecords /zone *,dnscmd,the actor gather information about the target environment,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*dnscmd . /enumzones*,dnscmd,the actor gather information about the target environment,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*ldifde.exe -f *\\temp\\*.txt -p subtree*,ldifde,using ldifde.exe to export data from Active Directory to a .txt file in the Temp directory,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*reg query hklm\\software\\OpenSSH*,reg,Query the Windows registry sensitive informations,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*reg query hklm\\software\\OpenSSH\\Agent*,reg,Query the Windows registry sensitive informations,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*reg query hklm\\software\\realvnc*,reg,Query the Windows registry sensitive informations,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*reg query hklm\\software\\realvnc\\vncserver*,reg,Query the Windows registry sensitive informations,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*reg query hklm\\software\\realvnc\\Allusers*,reg,Query the Windows registry sensitive informations,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*reg query hklm\\software\\realvnc\\Allusers\\vncserver*,reg,Query the Windows registry sensitive informations,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*reg query hkcu\\software\\*\\putty\\session*,reg,Query the Windows registry sensitive informations,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*reg save hklm\\sam *.dat*,reg,saves a copy of the registry hive hklm\\sam to a .dat file,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*reg save hklm\\system *.dat*,reg,saves a copy of the registry hive hklm\\system to a .dat file,https://media.defense.gov/2023/May/24/2003229517/-1/-1/0/CSA_Living_off_the_Land.PDF,
*https://ipv4.myip.wtf/text*,ipv4.myip.wtf,get public ip address. Used by disctopia-c2,https://github.com/3ct0s/disctopia-c2/blob/main/libraries/disctopia.py,
*https://anymailfinder.com/search/*,anymailfinder,used by attackers to find informations about a company users,https://anymailfinder.com,
*https://www.skymem.info/srch?q=*,skymen.info,used by attackers to find informations about a company users,https://www.skymem.info,
