"file_name","url","metadata_description","metadata_category","metadata_reference"
"*.jpg.zip",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.bat",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.dll",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.htm",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.jar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.js",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.rar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.sfx",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.vbs",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pdf.zip",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.bat",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.dll",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.htm",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.jar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.js",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.rar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.sfx",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.vbs",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.ppt.zip",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.bat",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.dll",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.htm",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.jar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.js",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.rar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.sfx",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.vbs",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.pptx.zip",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rar.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rar.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rtf.bat",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rtf.dll",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rtf.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rtf.htm",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rtf.jar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rtf.js",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rtf.sfx",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.rtf.vbs",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.txt.bat",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.txt.dll",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.txt.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.txt.htm",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.txt.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.txt.jar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.txt.js",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.txt.sfx",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.txt.vbs",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.bat",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.dll",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.htm",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.jar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.js",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.rar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.sfx",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.vbs",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xls.zip",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.bat",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.dll",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.htm",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.jar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.js",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.rar",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.sfx",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.vbs",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.xlsx.zip",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.zip.exe",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
"*.zip.iso",,"Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.bat","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.dll","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.htm","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.jar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.js","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.rar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.sfx","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.vbs","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.doc.zip","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.bat","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.dll","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.htm","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.jar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.js","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.rar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.sfx","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.vbs","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.docx.zip","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.jpg.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.jpg.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.jpg.rar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.jpg.zip","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.bat","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.dll","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.htm","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.jar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.js","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.rar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.sfx","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.vbs","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pdf.zip","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.bat","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.dll","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.htm","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.jar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.js","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.rar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.sfx","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.vbs","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.ppt.zip","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.bat","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.dll","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.htm","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.jar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.js","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.rar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.sfx","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.vbs","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.pptx.zip","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rar.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rar.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rtf.bat","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rtf.dll","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rtf.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rtf.htm","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rtf.jar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rtf.js","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rtf.sfx","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.rtf.vbs","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.txt.bat","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.txt.dll","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.txt.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.txt.htm","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.txt.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.txt.jar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.txt.js","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.txt.sfx","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.txt.vbs","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.bat","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.dll","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.htm","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.jar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.js","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.rar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.sfx","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.vbs","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xls.zip","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.bat","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.dll","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.htm","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.jar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.js","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.rar","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.sfx","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.vbs","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.xlsx.zip","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.zip.exe","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
,"*.zip.iso","Suspicious extensions files","Phishing","https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/_Others/_.csv"
