dest,root_domain,metadata_comment,metadata_severity
*.optimism.io,optimism.io,"Collapsed from 2 specific hosts (mainnet.optimism.io, sepolia.optimism.io). Blocks any future sibling on the same apex without a list update. Collateral: apex also serves Optimism docs. Contract storage works the same on this chain if the operator moves.",high
ton.access.orbs.network,orbs.network,TON decentralised RPC gateway. TONResolver calls get_domain on a contract to fetch the C2 domain.,high
*.p2pify.com,p2pify.com,"Chainstack managed endpoints. Keyless public tier, enough to read an attacker contract.",high
*.pokt.network,pokt.network,"Pocket Network decentralised RPC. One aggregator reaches every chain the loader needs, no signup.",high
*.polkachu.com,polkachu.com,Polkachu Cosmos ecosystem RPC. Covers BSC and Polygon without a dedicated endpoint.,high
polygon-rpc.com,polygon-rpc.com,Polygon official public RPC. Alternate route to the Polygon contract this campaign uses.,high
rpc-amoy.polygon.technology,polygon.technology,Polygon Amoy testnet official RPC. Free faucet gas and light filtering make it easy contract hosting.,high
*.polygonscan.com,polygonscan.com,"Collapsed from 2 specific hosts (api-amoy.polygonscan.com, api.polygonscan.com). Blocks any future sibling on the same apex without a list update. Collateral: apex also serves the explorer web UI - EXEMPT SOC. Read path that survives an RPC block. Exempt analysts.",high
aptos-mainnet.pontem.network,pontem.network,Aptos RPC via Pontem. Staging layer of the same three-chain resolver chain.,high
solana-api.projectserum.com,projectserum.com,Solana public RPC. GlassWorm hides its payload URL in transaction memos.,high
*.publicnode.com,publicnode.com,"Multi-chain public RPC (Allnodes). One aggregator reaches every chain the loader needs, no signup.",high
*.publicnode.io,publicnode.io,PublicNode alternate TLD. Used as fallback when a chain's own endpoint throttles.,high
*.quicknode.pro,quicknode.pro,QuickNode alternate domain. Covers BSC and Polygon without a dedicated endpoint.,high
*.quiknode.pro,quiknode.pro,QuickNode managed RPC endpoints. Used as fallback when a chain's own endpoint throttles.,high
*.rockx.com,rockx.com,RockX node services. Used as fallback when a chain's own endpoint throttles.,high
*.rpc.tools,rpc.tools,"Generic public RPC aggregator domain. One aggregator reaches every chain the loader needs, no signup.",high
*.rpcfast.com,rpcfast.com,RPC Fast provider. Covers BSC and Polygon without a dedicated endpoint.,high
*.rpcpool.com,rpcpool.com,Triton Solana RPC pool. Covers BSC and Polygon without a dedicated endpoint.,high
api.securerpc.com,securerpc.com,"Ethereum private RPC. Reads cost no gas, so mainnet is as cheap as anywhere for a dead drop.",high
rpc.sepolia.org,sepolia.org,Ethereum Sepolia testnet RPC. Proof-of-concept resolvers get deployed here first.,high
*.sequence.app,sequence.app,"Sequence node gateway. One aggregator reaches every chain the loader needs, no signup.",high
*.shyft.to,shyft.to,Shyft Solana RPC and API. Covers BSC and Polygon without a dedicated endpoint.,high
*.sol-domain.org,sol-domain.org,"SNS proxy subdomains - blackice.sol-domain[.]org was the observed host. Resolves .sol and .eth names for browsers that cannot, C2 seen behind it.",high
*.solana.com,solana.com,"Collapsed from 3 specific hosts (api.testnet.solana.com, api.mainnet-beta.solana.com, api.devnet.solana.com). Blocks any future sibling on the same apex without a list update. Collateral: apex also serves Solana docs and marketing - devs will notice. Read via getSignaturesForAddress then getTransaction, not eth_call.",high
*.stackup.sh,stackup.sh,Stackup account-abstraction RPC. Used as fallback when a chain's own endpoint throttles.,high
*.subquery.network,subquery.network,"SubQuery public RPC network. One aggregator reaches every chain the loader needs, no signup.",high
*.syndica.io,syndica.io,Syndica Solana RPC. Used as fallback when a chain's own endpoint throttles.,high
*.tatum.io,tatum.io,Tatum multi-chain API. Covers BSC and Polygon without a dedicated endpoint.,high
*.tenderly.co,tenderly.co,"Tenderly gateway plus dev tooling and dashboard. Keyless public tier, enough to read an attacker contract.",high
*.thirdweb.com,thirdweb.com,thirdweb RPC; wildcard also blocks docs. Covers BSC and Polygon without a dedicated endpoint.,high
*.tokenview.io,tokenview.io,Tokenview multi-chain API. Used as fallback when a chain's own endpoint throttles.,high
*.ton.org,ton.org,TON official infrastructure. TONResolver calls get_domain on a contract to fetch the C2 domain.,high
tonapi.io,tonapi.io,TON public API. TONResolver calls get_domain on a contract to fetch the C2 domain.,high
toncenter.com,toncenter.com,TON public API. TONResolver calls get_domain on a contract to fetch the C2 domain.,high
*.tonhubapi.com,tonhubapi.com,"Collapsed from 2 specific hosts (api.mainnet.tonhubapi.com, mainnet-v4.tonhubapi.com). Blocks any future sibling on the same apex without a list update. Collateral: no known non-RPC content on this apex. TONResolver calls get_domain on a contract to fetch the C2 domain.",high
api.tron.network,tron.network,Tron public API. Holds the encrypted C2 URL in the Tron/BSC/Aptos resolver chain.,high
*.trongrid.io,trongrid.io,"Collapsed from 2 specific hosts (api.trongrid.io, nile.trongrid.io). Blocks any future sibling on the same apex without a list update. Collateral: no known non-RPC content on this apex. Holds the encrypted C2 URL in the Tron/BSC/Aptos resolver chain.",high
api.tronstack.io,tronstack.io,Tron public API. Holds the encrypted C2 URL in the Tron/BSC/Aptos resolver chain.,high
*.unifra.io,unifra.io,Unifra RPC provider. Covers BSC and Polygon without a dedicated endpoint.,high
*.validationcloud.io,validationcloud.io,"Validation Cloud RPC. Keyless public tier, enough to read an attacker contract.",high
*.zan.top,zan.top,"ZAN multi-chain RPC. One aggregator reaches every chain the loader needs, no signup.",high
*.algonode.cloud,algonode.cloud,Algorand public node network. Contract or memo fields on this chain can hold a C2 pointer.,medium
api.arbiscan.io,arbiscan.io,"Explorer API, Arbitrum. Returns the same contract state as an RPC node, no node needed. SOC exception required.",medium
mainnet.aurora.dev,aurora.dev,"Aurora official RPC. No campaign seen yet, blocked to close the substitution path.",medium
api.avax.network,avax.network,Avalanche official RPC. Contract storage works the same on this chain if the operator moves.,medium
api.basescan.org,basescan.org,"Explorer API, Base. Returns the same contract state as an RPC node, no node needed. SOC exception required.",medium
*.bitquery.io,bitquery.io,Blockchain GraphQL data API. Read path that survives an RPC block. Exempt analysts.,medium
rpc.blast.io,blast.io,"Blast official RPC. No campaign seen yet, blocked to close the substitution path.",medium
blockchain.info,blockchain.info,Bitcoin explorer and API. Slower and pricier than EVM but a working dead drop.,info
api.blockcypher.com,blockcypher.com,Multi-chain blockchain API. Slower and pricier than EVM but a working dead drop.,medium
*.blockfrost.io,blockfrost.io,Blockfrost multi-chain API. Non-EVM but the dead-drop pattern ports over unchanged.,medium
*.blockscout.com,blockscout.com,Blockscout self-hosted instances. Read path that survives an RPC block. Exempt analysts.,medium
blockstream.info,blockstream.info,"Bitcoin explorer and API. Inscriptions and OP_RETURN carry payloads, Ordinals tooling reads them back.",medium
btcscan.org,btcscan.org,"Bitcoin explorer. Inscriptions and OP_RETURN carry payloads, Ordinals tooling reads them back.",medium
forno.celo.org,celo.org,Celo official RPC. Contract storage works the same on this chain if the operator moves.,medium
rpc.coredao.org,coredao.org,Core DAO official RPC. Contract storage works the same on this chain if the operator moves.,medium
api.covalenthq.com,covalenthq.com,"Multi-chain data API. Returns the same contract state as an RPC node, no node needed. SOC exception required.",medium
evm.cronos.org,cronos.org,"Cronos official RPC. No campaign seen yet, blocked to close the substitution path.",medium
api.cronoscan.com,cronoscan.com,"Explorer API, Cronos. Read path that survives an RPC block. Exempt analysts.",medium
api.dune.com,dune.com,"Blockchain analytics API. Returns the same contract state as an RPC node, no node needed. SOC exception required.",medium
rpcapi.fantom.network,fantom.network,Fantom official RPC. Contract storage works the same on this chain if the operator moves.,medium
rpc.ftm.tools,ftm.tools,"Fantom public RPC. No campaign seen yet, blocked to close the substitution path.",medium
api.ftmscan.com,ftmscan.com,"Explorer API, Fantom. Returns the same contract state as an RPC node, no node needed. SOC exception required.",medium
rpc.gnosischain.com,gnosischain.com,Gnosis Chain official RPC. Contract storage works the same on this chain if the operator moves.,medium
api.gnosisscan.io,gnosisscan.io,"Explorer API, Gnosis. Returns the same contract state as an RPC node, no node needed. SOC exception required.",medium
api.harmony.one,harmony.one,"Harmony official RPC. No campaign seen yet, blocked to close the substitution path.",medium
api.hiro.so,hiro.so,"Bitcoin and Stacks API with Ordinals data. Inscriptions and OP_RETURN carry payloads, Ordinals tooling reads them back.",medium
public-en.node.kaia.io,kaia.io,Kaia (ex-Klaytn) official RPC. Contract storage works the same on this chain if the operator moves.,medium
api.koios.rest,koios.rest,Cardano public API. Non-EVM but the dead-drop pattern ports over unchanged.,medium
rpc.linea.build,linea.build,"Linea official RPC. No campaign seen yet, blocked to close the substitution path.",medium
api.lineascan.build,lineascan.build,"Explorer API, Linea. Read path that survives an RPC block. Exempt analysts.",medium
rpc.mantle.xyz,mantle.xyz,"Mantle official RPC. No campaign seen yet, blocked to close the substitution path.",medium
mainnet.tezos.marigold.dev,marigold.dev,Tezos public RPC. Contract or memo fields on this chain can hold a C2 pointer.,medium
*.mempool.space,mempool.space,"Bitcoin mempool explorer subdomains. Inscriptions and OP_RETURN carry payloads, Ordinals tooling reads them back.",medium
rpc.metis.io,metis.io,Metis official RPC. Contract storage works the same on this chain if the operator moves.,medium
*.moonbeam.network,moonbeam.network,"Collapsed from 2 specific hosts (rpc.api.moonbeam.network, rpc.api.moonriver.moonbeam.network). Blocks any future sibling on the same apex without a list update. Collateral: no known non-RPC content on this apex. Contract storage works the same on this chain if the operator moves.",medium
rpc.mainnet.near.org,near.org,NEAR official RPC. Non-EVM but the dead-drop pattern ports over unchanged.,medium
*.nodit.io,nodit.io,Multi-chain node and data API. Read path that survives an RPC block. Exempt analysts.,medium
emerald.oasis.dev,oasis.dev,"Oasis Emerald RPC. No campaign seen yet, blocked to close the substitution path.",medium
rpc.mainnet.oasys.games,oasys.games,"Oasys official RPC. No campaign seen yet, blocked to close the substitution path.",medium
ordapi.xyz,ordapi.xyz,Ordinals inscription API. Slower and pricier than EVM but a working dead drop.,medium
*.ordinals.com,ordinals.com,Bitcoin Ordinals subdomains. Slower and pricier than EVM but a working dead drop.,medium
rpc.pulsechain.com,pulsechain.com,PulseChain official RPC. Contract storage works the same on this chain if the operator moves.,medium
rpc.scroll.io,scroll.io,"Scroll official RPC. No campaign seen yet, blocked to close the substitution path.",medium
api.snowtrace.io,snowtrace.io,"Explorer API, Avalanche. Read path that survives an RPC block. Exempt analysts.",medium
horizon.stellar.org,stellar.org,Stellar Horizon API. Contract or memo fields on this chain can hold a C2 pointer.,medium
fullnode.mainnet.sui.io,sui.io,Sui official RPC. Contract or memo fields on this chain can hold a C2 pointer.,medium
api.tzkt.io,tzkt.io,Tezos indexer API. Non-EVM but the dead-drop pattern ports over unchanged.,medium
zkevm-rpc.com,zkevm-rpc.com,Polygon zkEVM official RPC. Contract storage works the same on this chain if the operator moves.,medium
rpc.zora.energy,zora.energy,Zora official RPC. Contract storage works the same on this chain if the operator moves.,medium
*.4everland.io,4everland.io,"4EVERLAND subdomain gateway. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
ar-io.net,ar-io.net,Arweave gateway network. Serves attacker content and ordinary site images from the same host.,low
*.arweave.dev,arweave.dev,"Arweave dev gateways. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
*.arweave.net,arweave.net,Arweave subdomain gateways. Serves attacker content and ordinary site images from the same host.,low
cf-ipfs.com,cf-ipfs.com,"Cloudflare IPFS gateway, third domain form. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
cloudflare-ipfs.com,cloudflare-ipfs.com,"Cloudflare IPFS gateway. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
cloudflareipfs.com,cloudflareipfs.com,"Cloudflare IPFS gateway, unhyphenated form - served XMRig via /ipns/. Serves attacker content and ordinary site images from the same host.",low
*.dweb.link,dweb.link,"IPFS subdomain-style gateway. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
*.ipfs.dweb.link,dweb.link,dweb subdomain gateway - served XLoader order.exe. Serves attacker content and ordinary site images from the same host.,low
ipfs.filebase.io,filebase.io,"Filebase IPFS gateway. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
*.on.fleek.co,fleek.co,Fleek subdomain gateway. Serves attacker content and ordinary site images from the same host.,low
ipfs.fleek.co,fleek.co,"Fleek IPFS gateway. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
*.infura-ipfs.io,infura-ipfs.io,"Infura subdomain gateway - hosted Metasploit and Dark Utilities payloads. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
*.ipfs.io,ipfs.io,IPFS gateway subdomains. Serves attacker content and ordinary site images from the same host.,low
gateway.ipfsscan.io,ipfsscan.io,"IPFSScan public gateway. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
*.mypinata.cloud,mypinata.cloud,Pinata dedicated customer gateways. Serves attacker content and ordinary site images from the same host.,low
*.nftstorage.link,nftstorage.link,NFT.Storage subdomain gateway. Serves attacker content and ordinary site images from the same host.,low
gateway.pinata.cloud,pinata.cloud,"Pinata IPFS gateway. Hosts stage-two payloads pinned by CID. Heavy legit use, expect noise.",low
ipfs.runfission.com,runfission.com,Fission public gateway. Serves attacker content and ordinary site images from the same host.,low
*.w3s.link,w3s.link,"web3.storage subdomain gateway - CID becomes the hostname, apex rule misses it. Serves attacker content and ordinary site images from the same host.",low
chainid.network,chainid.network,"Chain and RPC metadata directory. Endpoint directory. Malware never reads it, people do.",info
chainlist.org,chainlist.org,"RPC endpoint directory. Endpoint directory. Malware never reads it, people do.",info
chainlist.wtf,chainlist.wtf,"RPC endpoint directory. Endpoint directory. Malware never reads it, people do.",info
ethereumnodes.com,ethereumnodes.com,"RPC endpoint directory. Endpoint directory. Malware never reads it, people do.",info
rpc.info,rpc.info,"RPC endpoint directory. Endpoint directory. Malware never reads it, people do.",info
