permission,permission_type,permission_id,display_name,description,admin_consent_required,severity,severity_score,privileged,risk_family,resource,operation,constraint,scope_model,broad_scope,limited_or_resource_scoped,write_capability,read_capability,delete_capability,send_or_impersonation_capability,privilege_assignment_capability,control_plane,auth_or_credential_surface,business_data_exposure,security_data_exposure,device_management_surface,destructive_capability,recommended_handling,least_privilege_hint,risk_rationale,source,source_section,source_url,catalog_date,programmatic_catalog_query,risk_model,notes
PrivilegedAccess.ReadWrite.AzureResources,Application,6f9d5abc-2db6-400b-a267-7de22a40fb87,Read and write privileged access to Azure resources,"Allows the app to request and manage time-based assignment and just-in-time elevation of Azure resources (like your subscriptions, resource groups, storage, compute) in your organization, without a signed-in user.",Yes,Critical,95,true,Privilege / consent / role assignment,PrivilegedAccess,ReadWrite,AzureResources,Tenant-wide app permission,true,false,true,true,false,false,true,true,false,true,false,false,false,"Block by default / require exception, owner, business justification, expiration",Treat as privileged identity management; restrict to break-glass or approved automation only.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; can affect role/permission/consent assignments; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential; explicit critical permission in SOC identity model,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
AppRoleAssignment.ReadWrite.All,Application,06b708a9-e830-4db3-a914-8e69da51d44f,Manage app permission grants and app role assignments,"Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, without a signed-in user.",Yes,Critical,92,true,Privilege / consent / role assignment,AppRoleAssignment,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,true,true,true,false,false,false,false,"Block by default / require exception, owner, business justification, expiration",Require app owner validation; monitor consent grants and app role assignments; avoid write scopes unless automation truly manages apps.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; can affect role/permission/consent assignments; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; explicit critical permission in SOC identity model",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
DelegatedPermissionGrant.ReadWrite.All,Application,8e8e4742-1d95-4f68-9d56-6ee75648c72a,Manage all delegated permission grants,"Allows the app to manage permission grants for delegated permissions exposed by any API (including Microsoft Graph), without a signed-in user.",Yes,Critical,92,true,Privilege / consent / role assignment,DelegatedPermissionGrant,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,true,true,true,false,false,false,false,"Block by default / require exception, owner, business justification, expiration",Require app owner validation; monitor consent grants and app role assignments; avoid write scopes unless automation truly manages apps.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; can affect role/permission/consent assignments; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; explicit critical permission in SOC identity model",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
RoleManagementAlert.ReadWrite.Directory,Application,11059518-d6a6-4851-98ed-509268489c4a,"Read all alert data, configure alerts, and take actions on all alerts for your company's directory","Allows the app to read and manage all role-based access control (RBAC) alerts for your company's directory, without a signed-in user. This includes managing alert settings, initiating alert scans, dismissing alerts, remediating alert incidents, and reading alert statuses, alert definitions, alert configurations and incidents that lead to an alert.",Yes,Critical,92,true,Privilege / consent / role assignment,RoleManagementAlert,ReadWrite,Directory,Tenant-wide app permission,true,false,true,true,false,false,true,true,false,false,true,false,false,"Block by default / require exception, owner, business justification, expiration",Treat as privileged identity management; restrict to break-glass or approved automation only.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; can affect role/permission/consent assignments; identity/directory/tenant control-plane surface; security/audit/compliance data exposure; broad app-only security/compliance visibility/control,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
UserAuthMethod-Email.ReadWrite.All,Application,e8ecb853-1435-4a49-95ba-ec5b31b11672,Read and write all users' email methods,"Allows the application to read and write email methods of all users in your organization, without a signed-in user. This does not allow the app to see secret information like passwords, or to sign-in or otherwise use the authentication methods.",Yes,Critical,91,true,Authentication / identity policy / credential control,UserAuthMethod-Email,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,true,true,true,false,false,false,"Block by default / require exception, owner, business justification, expiration",,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
AgentIdentityBlueprint.AddRemoveCreds.All,Application,0510736e-bdfb-4b37-9a1f-89b4a074763a,Update agent identity blueprint credentials,Allows updating agent identity blueprint credentials without a signed-in user.,Yes,Critical,90,true,AI agent / identity / credential control,AgentIdentityBlueprint,AddRemoveCreds,All,Tenant-wide app permission,true,false,true,false,false,false,false,true,true,false,false,false,false,"Block by default / require exception, owner, business justification, expiration",Treat write access to Agent Registry/agent identity objects as sensitive; prefer ManagedBy/owned scope where available.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; explicit critical permission in SOC identity model",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
AgentIdentityBlueprint.UpdateAuthProperties.All,Application,19202363-278e-49c2-bf00-391e2ba00881,Update agent identity blueprint authorization and authentication properties,Allows updating agent identity blueprint authorization and authentication properties without a signed-in user.,Yes,Critical,90,true,AI agent / identity / credential control,AgentIdentityBlueprint,UpdateAuthProperties,All,Tenant-wide app permission,true,false,true,false,false,false,false,true,true,false,false,false,false,"Block by default / require exception, owner, business justification, expiration",Treat write access to Agent Registry/agent identity objects as sensitive; prefer ManagedBy/owned scope where available.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; explicit critical permission in SOC identity model",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
Application.ReadWrite.All,Application,1bfefb4e-e0b5-418b-a88f-73c46d2cc8e9,Read and write all applications,"Allows the app to create, read, update and delete applications and service principals without a signed-in user. Does not allow management of consent grants.",Yes,Critical,90,true,Authentication / identity policy / credential control,Application,ReadWrite,All,Tenant-wide app permission,true,false,true,true,true,false,false,true,true,false,false,false,true,"Block by default / require exception, owner, business justification, expiration",Require app owner validation; monitor consent grants and app role assignments; avoid write scopes unless automation truly manages apps.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability; authentication, credential, consent, or policy surface; identity/directory/tenant control-plane surface; explicit critical permission in SOC identity model",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
BitlockerKey.Read.All,Application,57f1cf28-c0c4-4ec3-9a30-19a2eaaf2f6e,Read all BitLocker keys,"Allows an app to read BitLocker keys for all devices, without a signed-in user. Allows read of the recovery key.",Yes,Critical,90,true,Device / endpoint management,BitlockerKey,Read,All,Tenant-wide app permission,true,false,false,true,false,false,false,false,false,false,false,true,false,"Block by default / require exception, owner, business justification, expiration",Restrict to approved endpoint-management automation and monitor device/action changes.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; read/list capability; endpoint/device-management surface; broad app-only endpoint visibility/control; explicit critical permission in SOC identity model,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
CloudPC.ReadWrite.All,Application,3b4349e1-8cf5-45a3-95b7-69d1751d3e6a,Read and write Cloud PCs,"Allows the app to read and write the properties of Cloud PCs, without a signed-in user.",Yes,Critical,90,true,Device / endpoint management,CloudPC,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,false,false,true,false,"Block by default / require exception, owner, business justification, expiration",Restrict to approved endpoint-management automation and monitor device/action changes.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; endpoint/device-management surface; broad app-only endpoint visibility/control; explicit critical permission in SOC identity model,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
Device.ReadWrite.All,Application,1138cb37-bd11-4084-a2b7-9f71582aeddb,Read and write devices,"Allows the app to read and write all device properties without a signed in user. Does not allow device creation, device deletion or update of device alternative security identifiers.",Yes,Critical,90,true,Device / endpoint management,Device,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,false,true,true,false,"Block by default / require exception, owner, business justification, expiration",Restrict to approved endpoint-management automation and monitor device/action changes.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; endpoint/device-management surface; security/audit/compliance data exposure; broad app-only endpoint visibility/control; broad app-only security/compliance visibility/control; explicit critical permission in SOC identity model,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
DeviceLocalCredential.Read.All,Application,884b599e-4d48-43a5-ba94-15c414d00588,Read device local credential passwords,"Allows the app to read device local credential properties including passwords, without a signed-in user.",Yes,Critical,90,true,Authentication / identity policy / credential control,DeviceLocalCredential,Read,All,Tenant-wide app permission,true,false,false,true,false,false,false,false,true,false,false,true,false,"Block by default / require exception, owner, business justification, expiration",Restrict to approved endpoint-management automation and monitor device/action changes.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; read/list capability; authentication, credential, consent, or policy surface; endpoint/device-management surface; broad app-only endpoint visibility/control; explicit critical permission in SOC identity model",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
DeviceLocalCredential.ReadBasic.All,Application,db51be59-e728-414b-b800-e0f010df1a79,Read device local credential properties,"Allows the app to read device local credential properties excluding passwords, without a signed-in user.",Yes,Critical,90,true,Authentication / identity policy / credential control,DeviceLocalCredential,ReadBasic,All,Tenant-wide app permission,true,false,false,true,false,false,false,false,true,false,false,true,false,"Block by default / require exception, owner, business justification, expiration",Restrict to approved endpoint-management automation and monitor device/action changes.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; read/list capability; authentication, credential, consent, or policy surface; endpoint/device-management surface; broad app-only endpoint visibility/control; explicit critical permission in SOC identity model",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
DeviceManagementApps.ReadWrite.All,Application,78145de6-330d-4800-a6ce-494ff2d33d07,Read and write Microsoft Intune apps,"Allows the app to read and write the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune, without a signed-in user.",Yes,Critical,90,true,Device / endpoint management,DeviceManagementApps,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,true,false,"Block by default / require exception, owner, business justification, expiration",Restrict to approved endpoint-management automation and monitor device/action changes.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; endpoint/device-management surface; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential; broad app-only endpoint visibility/control; explicit critical permission in SOC identity model,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
DeviceManagementManagedDevices.ReadWrite.All,Application,243333ab-4d21-40cb-a475-36241daa0842,Read and write Microsoft Intune devices,"Allows the app to read and write the properties of devices managed by Microsoft Intune, without a signed-in user. Does not allow high impact operations such as remote wipe and password reset on the device's owner",Yes,Critical,90,true,Authentication / identity policy / credential control,DeviceManagementManagedDevices,ReadWrite,All,Tenant-wide app permission,true,false,true,true,true,false,false,false,true,false,false,true,true,"Block by default / require exception, owner, business justification, expiration",Restrict to approved endpoint-management automation and monitor device/action changes.,"app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability; authentication, credential, consent, or policy surface; endpoint/device-management surface; broad app-only endpoint visibility/control; explicit critical permission in SOC identity model",Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
